OBJECTID,objectid_1,ia_no,subject_id,incident_type,county_location,occurred_date,type_force_used,subject_resistence,officer_condition_injury,subject_sex,subject_race,disposition,status,subject_injury
40,39,UOF2021-025,subject_9612380,Use of Force,AA4,20210128,"Physical Force- Struggle, Physical Force Restr., Physical Force-Push","Active Resistance, Assaultive Resistance, Aggressive Resistance",,Male,Black,Within Policy,Completed,
41,40,UOF2021-025,subject_9612380,Use of Force,AA4,20210128,"Physical Force- Struggle, Physical Force Restr., Physical Force-Push","Active Resistance, Assaultive Resistance, Aggressive Resistance",,Male,Black,Within Policy,Completed,
42,41,UOF2021-026,subject_9612567,Use of Force,AA4,20210131,Physical Force-Restr.,Active Resistance,,Male,Black,Within Policy,Completed,
43,42,RR-0000083,subject_961,Use of Force,AA4,20210131,Physical Force-Restraint,Passive Resistance,,Female,White,Within Policy,Completed,
44,43,UOF2021-028,subject_9612571,Use of Force,AB1,20210203,Physical Force,Assaultive,Officer Injured-Treated at hospital,Male,White,Within Policy,Completed,
45,44,UOF2021-028,subject_9612571,Use of Force,AB1,20210203,Physical Force-Restr.,Assaultive,,Male,White,Within Policy,Completed,
46,45,UOF2021-028,subject_9612571,Use of Force,AB1,20210203,Physical Force-Restr.,Assaultive,,Male,White,Within Policy,Completed,
47,46,UOF2021-032,subject_9612577,Use of Force,AC1,20210207,Physical Force,Assaultive,,Male,White,Within Policy,Completed,
48,47,UOF2021-032,subject_9612577,Use of Force,AC1,20210207,Physical Force,Assaultive,,Male,White,Within Policy,Completed,
49,48,UOF2021-032,subject_9612577,Use of Force,AC1,20210207,Physical Force,Assaultive,,Male,White,Within Policy,Completed,
50,49,UOF2021-032,subject_9612577,Use of Force,AC1,20210207,Physical Force,Assaultive,,Male,White,Within Policy,Completed,
51,50,UOF2021-032,subject_9612577,Use of Force,AC1,20210207,Physical Force,Assaultive,,Male,White,Within Policy,Completed,
52,51,UOF2021-032,subject_9612577,Use of Force,AC1,20210207,Physical Force,Assaultive,,Male,White,Within Policy,Completed,
53,52,UOF2021-032,subject_9612577,Use of Force,AC1,20210207,Physical Force,Assaultive,,Male,White,Within Policy,Completed,
54,53,UOF2021-032,subject_9612577,Use of Force,AC1,20210207,Physical Force,Assaultive,,Male,White,Within Policy,Completed,
55,54,UOF2021-033,subject_9612578,Use of Force,AC1,20210207,Physical Force-Struggle,Assaultive,,Female,White,Within Policy,Completed,
56,55,UOF2021-033,subject_9612578,Use of Force,AC1,20210207,Physical Force-Struggle,Assaultive,,Female,White,Within Policy,Completed,
57,56,UOF2021-034,subject_9612326,Use of Force,AC1,20210209,"Physical Force-Struggle, Physical Force-Restr., Physical Force-Push",Active Resistance,,Male,White,Within Policy,Completed,
58,57,UOF2021-034,subject_9612326,Use of Force,AC1,20210209,"Physical Force-Struggle, Physical Force-Restr., Physical Force-Push",Active Resistance,,Male,White,Within Policy,Completed,
59,58,UOF2021-034,subject_9612326,Use of Force,AC1,20210209,"Physical Force-Struggle, Physical Force-Restr., Physical Force-Push",Active Resistance,,Male,White,Within Policy,Completed,
60,59,UOF2021-034,subject_9612326,Use of Force,AC1,20210209,"Physical Force-Struggle, Physical Force-Restr., Physical Force-Push",Active Resistance,,Male,White,Within Policy,Completed,
61,60,UOF2021-035,subject_9611393,Use of Force,AB4,20210212,Physical Force-Restr.,"Assaultive, Aggressive Resistance",,Male,White,Within Policy,Completed,
62,61,UOF2021-035,subject_9611393,Use of Force,AB4,20210212,Physical Force-Restr.,"Assaultive, Aggressive Resistance",,Male,White,Within Policy,Completed,
63,62,UOF2021-035,subject_9611393,Use of Force,AB4,20210212,Physical Force-Restr.,"Assaultive, Aggressive Resistance",,Male,White,Within Policy,Completed,
64,63,UOF2021-035,subject_9611393,Use of Force,AB4,20210212,Physical Force-Restr.,"Assaultive, Aggressive Resistance",,Male,White,Within Policy,Completed,
65,64,UOF2021-036,subject_9612584,Use of Force,AB1,20210212,Physical Force-Restr.,Active Resistance,,Female,White,Within Policy,Completed,
66,65,UOF2021-038,subject_9612589,Use of Force,AA3,20210217,Physical Force-Restr.,Passive Resistance,,Male,White,Within Policy,Completed,
67,66,RR-0000103,subject_9613044,Use of Force,AA4,20210224,Physical Force-Restraint,Active Resistance,,Female,White,Within Policy,Closed,
68,67,UOF2021-039,subject_9612595,Use of Force,AB1,20210225,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
69,68,UOF2021-039,subject_9612595,Use of Force,AB1,20210225,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
70,69,UOF2021-039,subject_9612595,Use of Force,AB1,20210225,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
71,70,UOF2021-039,subject_9612595,Use of Force,AB1,20210225,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
72,71,UOF2021-040,subject_9612598,Use of Force,AD4,20210302,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
73,72,UOF2021-041,subject_9612600,Use of Force,AA3,20210302,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
74,73,UOF2021-041,subject_9612600,Use of Force,AA3,20210302,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
75,74,UOF2021-041,subject_9612600,Use of Force,AA3,20210302,Physical Force-Knee Strike(s),Active Resistance,,Male,White,Within Policy,Completed,
76,75,UOF2021-042,subject_9612603,Use of Force,AD4,20210305,Physical Force-Restr.,Aggressive Resistance,,Male,White,Within Policy,Completed,
77,76,UOF2021-043,subject_9612614,Use of Force,AB1,20210309,Physical Force-Restr.,Aggressive Resistance,,Male,White,Within Policy,Completed,
78,77,UOF2021-043,subject_9612614,Use of Force,AB1,20210309,Physical Force-Restr.,Aggressive Resistance,,Male,White,Within Policy,Completed,
79,78,UOF2021-043,subject_9612614,Use of Force,AB1,20210309,Physical Force-Restr.,Aggressive Resistance,,Male,White,Within Policy,Completed,
80,79,UOF2021-044,subject_9612617,Use of Force,AB4,20210309,"Physical Force-Struggle, Physical Force-Restr.",Active Resistance,,Male,White,Within Policy,Completed,
81,80,UOF2021-045,subject_9612618,Use of Force,AD4,20210311,Physical Force-Struggle,Passive Resistance,,Female,White,Within Policy,Completed,
82,81,UOF2021-046,subject_9612622,Use of Force,AA1,20210315,Physical Force-Restr.,Active Resistance,,Male,Hispanic,Within Policy,Completed,
83,82,UOF2021-046,subject_9612622,Use of Force,AA1,20210315,Physical Force-Restr.,Active Resistance,,Male,Hispanic,Within Policy,Completed,
84,83,UOF2021-046,subject_9612622,Use of Force,AA1,20210315,Physical Force-Restr.,Active Resistance,,Male,Hispanic,Within Policy,Completed,
85,84,UOF2021-046,subject_9612622,Use of Force,AA1,20210315,Physical Force-Restr.,Active Resistance,,Male,Hispanic,Within Policy,Completed,
86,85,UOF2021-046,subject_9612623,Use of Force,AA1,20210315,Physical Force-Restr.,Active Resistance,,Male,Hispanic,Within Policy,Completed,
87,86,UOF2021-046,subject_9612623,Use of Force,AA1,20210315,Physical Force-Restr.,Active Resistance,,Male,Hispanic,Within Policy,Completed,
88,87,UOF2021-046,subject_9612623,Use of Force,AA1,20210315,Physical Force-Restr.,Active Resistance,,Male,Hispanic,Within Policy,Completed,
89,88,UOF2021-046,subject_9612623,Use of Force,AA1,20210315,Physical Force-Restr.,Active Resistance,,Male,Hispanic,Within Policy,Completed,
90,89,UOF2021-048,subject_9612629,Use of Force,AB3,20210319,Phsysical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
91,90,UOF2021-049,subject_9611813,Use of Force,AC1,20210320,Physical Force,Passive Resistance,,Male,White,Within Policy,Completed,
92,91,UOF2021-050,subject_9612512,Use of Force,AC3,20210324,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
93,92,UOF2021-050,subject_9612512,Use of Force,AC3,20210324,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
94,93,UOF2021-050,subject_9612512,Use of Force,AC3,20210324,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
95,94,UOF2021-050,subject_9612512,Use of Force,AC3,20210324,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
96,95,UOF2021-050,subject_9612512,Use of Force,AC3,20210324,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
97,96,UOF2021-051,subject_9611393,Use of Force,AA2,20210327,,"Assaultvie Resistance, Aggressive Resistance, Active Resistance",Officer Injured,Male,White,Within Policy,Completed,
98,97,UOF2021-051,subject_9611393,Use of Force,AA2,20210327,,"Assaultvie Resistance, Aggressive Resistance, Active Resistance",Officer Injured,Male,White,Within Policy,Completed,
99,98,UOF2021-051,subject_9611393,Use of Force,AA2,20210327,,"Assaultvie Resistance, Aggressive Resistance, Active Resistance",Officer Injured,Male,White,Within Policy,Completed,
100,99,UOF2021-051,subject_9611393,Use of Force,AA2,20210327,,"Assaultvie Resistance, Aggressive Resistance, Active Resistance",Officer Injured,Male,White,Within Policy,Completed,
101,100,UOF2021-051,subject_9611393,Use of Force,AA2,20210327,,"Assaultvie Resistance, Aggressive Resistance, Active Resistance",Officer Injured,Male,White,Within Policy,Completed,
102,101,UOF2021-052,subject_9612635,Use of Force,AD4,20210327,"Physical Force, Taser Deployment","Active Resistance, Aggressive Resistance",Officer Injured,Male,Black,Within Policy,Completed,
103,102,UOF2021-052,subject_9612635,Use of Force,AD4,20210327,"Physical Force, Taser Deployment","Active Resistance, Aggressive Resistance",Officer Injured,Male,Black,Within Policy,Completed,
104,103,UOF2021-052,subject_9612635,Use of Force,AD4,20210327,"Physical Force, Taser Deployment","Active Resistance, Aggressive Resistance",Officer Injured,Male,Black,Within Policy,Completed,
105,104,UOF2021-052,subject_9612635,Use of Force,AD4,20210327,"Physical Force, Taser Deployment","Active Resistance, Aggressive Resistance",Officer Injured,Male,Black,Within Policy,Completed,
106,105,UOF2021-053,subject_961878,Use of Force,AC3,20210330,"Physical Force-Push, Physical Force-Restr.",Active Resistance,,Male,Black,Within Policy,Completed,
107,106,UOF2021-054,subject_9612649,Use of Force,AA4,20210401,Other,Active Resistance,,Male ,Black,Within Policy,Completed,
108,107,UOF2021-055,subject_9612643,Use of Force,AC1,20210406,Physical Force-Restr.,Passive Resistance,,Male,White,Within Policy,Completed,
109,108,UOF2021-056,subject_9612645,Use of Force,AC3,20210406,Physical Force-Struggle,Active Resistance,,Female,White,Within Policy,Completed,
110,109,UOF2021-057,subject_9612635,Use of Force,AB4,20210407,Taser Deployment,"Active Resistance, Assaultive",,Male,Black,Within Policy,Completed,
111,110,UOF2021-058,subject_9612464,Use of Force,AC1,20210409,Physical Force,Active Resistance,,Female,Black,Within Policy,Completed,
112,111,UOF2021-059,subject_9612648,Use of Force,AB4,20210409,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
113,112,UOF2021-059,subject_9612648,Use of Force,AB4,20210409,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
114,113,UOF2021-059,subject_9612648,Use of Force,AB4,20210409,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
115,114,UOF2021-059,subject_9612648,Use of Force,AB4,20210409,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
116,115,UOF2021-059,subject_9612648,Use of Force,AB4,20210409,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
117,116,UOF2021-059,subject_9612648,Use of Force,AB4,20210409,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
118,117,UOF2021-059,subject_9612648,Use of Force,AB4,20210409,Physical Force-Restraint,Active Resistance,,Male,White,Within Policy,Completed,
119,118,UOF2021-060,subject_9612652,Use of Force,AA4,20210413,Physical Force-Restraing,Active Resistance,,Male,White,Within Policy,Completed,
120,119,UOF2021-060,subject_9612652,Use of Force,AA4,20210413,Physical Force-Restraing,Active Resistance,,Male,White,Within Policy,Completed,
121,120,UOF2021-060,subject_9612652,Use of Force,AA4,20210413,Physical Force-Restraing,Active Resistance,,Male,White,Within Policy,Completed,
122,121,UOF2021-062,subject_9612662,Use of Force,AB3,20210416,Physical Force-Restr.,Passive Resistance,,Male,White,Within Policy,Completed,
123,122,UOF2021-104,subject_9612723,Use of Force,AC1,20210416,Physical Force-Push,Assaultive,,Male,White,Within Policy,Completed,
124,123,UOF2021-105,subject_9612654,Use of Force,AC1,20210416,Physical Force-Restr.,Passive Resistance,,Female ,White,Within Policy,Completed,
125,124,UOF2021-106,subject_9612722,Use of Force,AC1,20210416,Physical Force,Passive Resistance,,Male ,White,Within Policy,Completed,
126,125,UOF2021-061,subject_9612655,Use of Force,AB1,20210418,Physical Force-Push,Active Resistance,,Male,White,Within Policy,Completed,
127,126,UOF2021-063,subject_9612658,Use of Force,AA1,20210421,Physical Force,Active Resistance,,Female,White,Within Policy,Completed,
128,127,UOF2021-064,subject_9612663,Use of Force,AC3,20210422,Other,Passive Resistance,,Female,White,Within Policy,Completed,
129,128,UOF2021-065,subject_9612664,Use of Force,AC1,20210423,Physcial Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
130,129,UOF2021-065,subject_9612664,Use of Force,AC1,20210423,Physcial Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
131,130,UOF2021-066,subject_9612675,Use of Force,AA4,20210430,Physical Force-Struggle,Assaultive,,Male,White,Within Policy,Completed,
132,131,UOF2021-067,subject_9612054,Use of Force,AA4,20210430,Physical Force-Restr.,Active Resistance,,Male,Black,Within Policy,Completed,
133,132,UOF2021-067,subject_9612054,Use of Force,AA4,20210430,Physical Force-Restr.,Active Resistance,,Male,Black,Within Policy,Completed,
134,133,UOF2021-067,subject_9612054,Use of Force,AA4,20210430,Physical Force-Restr.,Active Resistance,,Male,Black,Within Policy,Completed,
135,134,UOF2021-068,subject_9612675,Use of Force,AA1,20210430,Physical Force-Restr.,Assaultive,,Male,White,Within Policy,Completed,
136,135,UOF2021-068,subject_9612675,Use of Force,AA1,20210430,Physical Force-Restr.,Assaultive,,Male,White,Within Policy,Completed,
137,136,UOF2021-069,subject_9612676,Use of Force,AB4,20210430,Physical Force-Struggle,Assaultive,,Male,White,Within Policy,Completed,
138,137,UOF2021-069,subject_9612676,Use of Force,AB4,20210430,Physical Force-Struggle,Assaultive,,Male,White,Within Policy,Completed,
139,138,UOF2021-070,subject_9612678,Use of Force,AA4,20210501,Physical Force,Active Resistance,,Male,White,Within Policy,Completed,
140,139,UOF2021-071,subject_9612654,Use of Force,AB1,20210505,Physical Force-Push,Active Resistance,,Female,White,Within Policy,Completed,
141,140,UOF2021-072,subject_9612684,Use of Force,AB3,20210505,Physical Force-Restr.,Assaultive,,White,Male,Within Policy,Completed,
142,141,UOF2021-073,subject_9612685,Use of Force,AD3,20210505,Physical Force-Stuggle,Passive Resistance,,White,Female,Within Policy,Completed,
143,142,UOF2021-074,subject_9612688,Use of Force,AB1,20210507,Phsysical Force-Struggle,Active Resistance,,Male ,Black,Within Policy,Completed,
144,143,UOF2021-074,subject_9612688,Use of Force,AB1,20210507,Phsysical Force-Struggle,Active Resistance,,Male ,Black,Within Policy,Completed,
145,144,UOF2021-075,subject_9612689,Use of Force,AC1,20210509,Physical Force-Struggle,Aggressive Resistance,Officer Injured,Male,Black,Within Policy,Completed,
146,145,UOF2021-075,subject_9612689,Use of Force,AC1,20210509,Physical Force-Struggle,Aggressive Resistance,Officer Injured,Male,Black,Within Policy,Completed,
147,146,UOF2021-075,subject_9612689,Use of Force,AC1,20210509,Physical Force-Struggle,Aggressive Resistance,Officer Injured,Male,Black,Within Policy,Completed,
148,147,UOF2021-076,subject_9612167,Use of Force,AA4,20210509,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
149,148,UOF2021-076,subject_9612167,Use of Force,AA4,20210509,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
150,149,UOF2021-076,subject_9612167,Use of Force,AA4,20210509,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
151,150,UOF2021-076,subject_9612167,Use of Force,AA4,20210509,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
152,151,UOF2021-076,subject_9612167,Use of Force,AA4,20210509,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
153,152,UOF2021-077,subject_961934,Use of Force,AC1,20210511,Physical Force-Push,Active Resistance,,Male,White,Within Policy,Completed,
154,153,UOF2021-078,subject_9612702,Use of Force,AD1,20210519,Physical Force-Struggle,Passive Resistance,,Male,Black,Within Policy,Completed,
155,154,UOF2021-079,subject_9612703,Use of Force,AB1,20210521,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
156,155,UOF2021-079,subject_9612703,Use of Force,AB1,20210521,Physical Force-Restr.,Active Resistance,Ofifcer Injured,Male,White,Within Policy,Completed,
157,156,UOF2021-080,subject_9612609,Use of Force,AA4,20210523,Physical Force,Passive Resistance,,Male,White,Within Policy,Completed,
158,157,UOF2021-081,subject_9612704,Use of Force,AD1,20210523,Physical Force-Struggle,Active Resistance,,Female,Black,Within Policy,Completed,
159,158,UOF2021-082,subject_9612706,Use of Force,AC1,20210526,Taser Deployment,Assaultive,,Male,White,Within Policy,Completed,
160,159,UOF2021-082,subject_9612706,Use of Force,AC1,20210526,Taser Deployment,Assaultive,,Male,White,Within Policy,Completed,
161,160,UOF2021-083,subject_9612709,Use of Force,AC1,20210527,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
162,161,UOF2021-083,subject_9612709,Use of Force,AC1,20210527,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
163,162,UOF2021-084,subject_9612710,Use of Force,AB3,20210530,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
164,163,UOF2021-085,subject_9612712,Use of Force,,20210530,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,Minor Injury-No Treatment
165,164,UOF2021-086,subject_9612713,Use of Force,AD4,20210530,Taser Deployment,Active Resistance,,Male,Black,Within Policy,Completed,
166,165,UOF2021-087,subject_9612715,Use of Force,AB1,20210601,Physical Force,Active Resistance,,Male,White,Within Policy,Completed,Minor Injury-No Treatment
167,166,UOF2021-088,subject_9612717,Use of Force,AB2,20210602,Physical Force-Struggle,Actvie Resistance,,Male,Black,Within Policy,Completed,
168,167,UOF2021-089,subject_9612718,Use of Force,AB3,20210603,Physical Force-Push,Active Resistance,,Male,White,Within Policy,Completed,
169,168,UOF2021-090,subject_9612654,Use of Force,AA4,20210603,Physical Force,Passive Resistance,,Female,White,Within Policy,Completed,
170,169,UOF2021-091,subject_9612721,Use of Force,AB1,20210606,Taser Deployment,Assaultive,Officer Injured,Male,White,Within Policy,Completed,
171,170,UOF2021-092,subject_9612730,Use of Force,AA4,20210611,Physical Force-Struggle,Active Resistance,Minor Injury,Male,Hispanic,Within Policy,Completed,Minor Injuires-No Treatment
172,171,UOF2021-093,subject_9612588,Use of Force,AC1,20210612,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
173,172,UOF2021-094,subject_9612732,Use of Force,AB3,20210614,Physical Force-Struggle,Active Resistance,,Male,White,Not Within Policy,Completed,Minor Injury-Treated at scene
174,173,UOF2021-107,subject_9612645,Use of Force,AA1,20210617,Physical Force-Restr.,Active Resistance,,Female,White,Within Policy,Completed,
175,174,UOF2021-095,subject_9612735,Use of Force,AA1,20210619,Physical Force-Struggle,Active Resistance,,Female,White,Within Policy,Completed,Minor Injury-No Treatment
176,175,UOF2021-095,subject_9612736,Use of Force,AA1,20210619,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
177,176,UOF2021-096,subject_9612745,Use of Force,AB1,20210623,Physical Force-Push,Passive Resistance,,Male,White,Within Policy,Completed,
178,177,UOF2021-097,subject_9612739,Use of Force,AC1,20210625,Physical Force-Push,Active Resistance,,Male,White,Within Policy,Completed,
179,178,UOF2021-098,subject_961692,Use of Force,AA4,20210628,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,Minor Injury-No Treatment
180,179,UOF2021-099,subject_9612742,Use of Force,AC1,20210701,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
181,180,UOF2021-100,subject_9612743,Use of Force,AB1,20210702,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
182,181,UOF2021-101,subject_9612746,Use of Force,AC1,20210704,Physical Force-Struggle,Active Resistance,,Male,Black,Within Policy,Completed,
183,182,UOF2021-101,subject_9612747,Use of Force,AC1,20210704,Taser Deployment,Assaultive,,Male,Black,Within Policy,Completed,
184,183,UOF2021-102,subject_9612748,Use of Force,AD4,20210705,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,Minor Injury-No Treatment
185,184,UOF2021-103,subject_9612749,Use of Force,AA2,20210706,Physical Force-Restr.,Passive Resistance,,Male,White,Within Policy,Completed,
186,185,UOF2021-108,subject_9612755,Use of Force,AB4,20210714,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
187,186,UOF2021-109,subject_9612756,Use of Force,AC1,20210714,Physical Force-Struggle,Passive Resistance,,Female,White,Within Policy,Completed,
188,187,UOF2021-110,subject_9611111,Use of Force,AC3,20210717,Physical Force-Restr.,Active Resistance,Officer Injured,Male,White,Within Policy,Completed,Minor Injury-No Treatment
189,188,UOF2021-111,subject_9612770,Use of Force,AA4,20210717,Physical Force-Restr.,Passive Resistance,,Male ,White,Within Policy,Completed,
190,189,UOF2021-112,subject_9612763,Use of Force,AB3,20210722,Physical Force-Restr.,Passive Resistance,,Male,White,Within Policy,Completed,Minor Injury-Treated at scene
191,190,UOF2021-114,subject_9612766,Use of Force,AC1,20210722,Physical Force-Restr.,Passive Resistance,,Male,Black,Within Policy,Completed,
