Incident Number,Date,Hour,Location (Zipcode),Initial Service Type,Incident Type,Force Type,Citizen Arrested,Citizen Sent to Hospital,Citizen Injured,Citizen Death,Citizen Injury Types,Officer Sent to Hospital,Officer Injured,Allegations and Findings,Citizen Demographics,Officer Demographics
22441,03/24/2019,2,23504,,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: General Order - Operational, Exonerated)",,"(White, Male, 29, 4); (White, Male, 34, 6); (White, Male, 24, 3); (, , , 3)"
22443,03/26/2019,14,23503,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,No,No,No,,No,No,,"(White, Female, 13)","(White, Male, 28, 5)"
22446,03/26/2019,11,23502,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,Yes,,"(Black, Male, 55)","(White, Female, 57, 15); (Asian, Male, 46, 11)"
22469,03/27/2019,16,,,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: Police Officer's Manual, Unsubstantiated); (Failure to Activate BWC, Substantiated)",,"(Black, Male, 54, 21)"
22474,03/25/2019,22,23507,Psychiatric,Use of force,Empty/Soft Hand Control,No,No,No,No,,Yes,Yes,,"(Black, Male, 34)","(White, Male, 36, 15)"
22475,03/26/2019,15,23504,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded)",,"(White, Male, 41, 11); (White, Male, 29, 6)"
22480,03/29/2019,14,23510,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,Yes,,"(Black, Male, 38)","(White, Male, 42, 19); (White, Male, 46, 19)"
22481,03/29/2019,14,23517,Assault/Disorderly Subj,Use of force,Hard Hand Control Tact.,No,No,No,No,,No,No,,"(Black, Male, 9)","(Black, Male, 25, 1)"
22482,03/29/2019,19,23502,Narcotics,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 28)","(White, Male, 45, 6); (White, Male, 32, 6)"
22510,03/31/2019,1,23510,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Hispanic, Male, 22)","(White, Male, 29, 1); (White, Male, 28, 5); (White, Male, 40, 14)"
22511,03/30/2019,3,23502,Trespassing,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,Yes,,"(Black, Female, 35)","(White, Male, 56, 30); (Black, Female, 26, 1)"
22523,04/02/2019,4,23518,Suspicious Situation,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact., TARP",Yes,Yes,Yes,No,,Yes,Yes,,"(Black, Female, 44)","(White, Male, 30, 3); (White, Male, 36, 12); (Asian, Male, 28, 1)"
22525,03/30/2019,0,23502,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 22)","(White, Male, 41, 19)"
22528,04/02/2019,11,23504,Service Call,Use of force,"Empty/Soft Hand Control, TARP",No,No,No,No,,No,No,,"(Black, Male, 18)","(White, Female, 33, 7); (Unknown, Female, 31, 2)"
22549,04/04/2019,12,23513,Non-Violent Felony,Use of force,Canine,Yes,Yes,Yes,No,Canine Bite,No,No,,"(Black, Male, 37); (Black, Female, 44)","(White, Male, 43, 21); (White, Male, 38, 13); (White, Male, 33, 7); (Black, Male, 27, 3)"
22557,04/05/2019,9,23513,Service Call,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 14)","(White, Male, 29, 6)"
22564,04/06/2019,1,23510,Assault/Disorderly Subj,Use of force,"Hard Hand Control Tact., TARP",Yes,No,No,No,,No,No,,"(Black, Female, 23)","(White, Male, 24, 2); (White, Male, 31, 3); (White, Male, 31, 8); (White, Female, 40, 18); (Black, Male, 53, 8)"
22565,04/06/2019,2,23513,Person w/ Weapon,Use of force,Empty/Soft Hand Control,No,No,No,No,,No,No,,"(Black, Male, 27)","(White, Male, 41, 11); (Asian, Male, 28, 1)"
22572,03/29/2019,3,23518,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(White, Male, 35)","(White, Male, 27, 2); (White, Male, 35, 12); (Unknown, Male, 27, 2)"
22576,04/07/2019,11,23502,Service Call,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(Black, Female, 40)","(White, Male, 27, 3); (White, Male, 34, 9)"
22578,04/07/2019,18,23503,Assault/Disorderly Subj,Use of force,Hard Hand Control Tact.,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 50)","(White, Male, 27, 2)"
22584,03/14/2019,22,,,Citizen Complaint,,No,No,No,No,,No,No,"(Fail to Provide Police Services, Unfounded)",,"(Black, Male, 58, 19)"
22595,04/09/2019,13,23505,Non-Violent Felony,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,Yes,,"(White, Male, 16)","(White, Male, 28, 2); (White, Male, 39, 1); (White, Female, 31, 3)"
22604,03/16/2019,15,23503,Psychiatric,Use of force,Empty/Soft Hand Control,No,Yes,Yes,No,,No,No,,"(White, Male, 19)","(White, Male, 39, 2); (White, Male, 25, 2)"
22606,04/09/2019,18,23510,Other,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,Yes,,"(Black, Female, 21)","(White, Male, 35, 12); (White, Male, 48, 23)"
22615,03/30/2019,19,23503,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated); (Excessive Force, Exonerated)",,"(White, Male, 56, 30)"
22620,04/10/2019,14,23513,Assault/Disorderly Subj,Use of force,Hard Hand Control Tact.,No,No,No,No,,No,Yes,,"(Black, Male, 17)","(Black, Male, 32, 7)"
22625,04/04/2019,17,23504,Suspicious Situation,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact., TARP, OC Spray",Yes,Yes,No,No,,No,No,,"(Black, Male, 30)","(White, Male, 37, 16); (Black, Male, 29, 6); (Black, Male, 37, 4); (Black, Male, 29, 4); (Unknown, Male, 38, 5); (Unknown, Male, 27, 4)"
22635,04/11/2019,13,23323,Violent Felony,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,No,No,No,,No,No,,"(Black, Male, 21)","(White, Male, 30, 8); (White, Male, 31, 7); (White, Male, 42, 20)"
22636,04/10/2019,11,23502,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated)",,"(White, Female, 49, 19)"
22640,04/10/2019,17,23513,Domestic Disturbance,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(White, Female, 18)","(White, Male, 26, 6)"
22643,03/26/2019,14,23504,,Citizen Complaint,,No,No,No,No,,No,No,"(Fail to Provide Police Services, Exonerated)",,"(Black, Male, 44, 10)"
22648,04/12/2019,22,23502,Domestic Disturbance,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(White, Male, 23)","(White, Male, 22, 0); (White, Male, 42, 12)"
22649,04/13/2019,1,23508,Person w/ Weapon,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 40)","(White, Male, 25, 2)"
22654,04/13/2019,21,23503,Service Call,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 56)","(White, Male, 35, 4); (White, Male, 24, 0)"
22660,04/14/2019,23,23513,Psychiatric,Use of force,Hard Hand Control Tact.,Yes,No,No,No,,No,No,,"(White, Male, 32)","(White, Male, 35, 4); (White, Male, 39, 13); (White, Male, 24, 0)"
22661,04/14/2019,23,23504,Service Call,Use of force,"Empty/Soft Hand Control, ECW, Baton/Impact Weapon",Yes,Yes,No,No,,Yes,Yes,,"(, Unknown, )","(White, Male, 34, 6); (White, Male, 34, 0); (White, Female, 28, 1); (Black, Male, 33, 7)"
22663,04/10/2019,23,23502,,Citizen Complaint,,No,No,No,No,,No,No,"(Biased Based Policing, Unfounded)",,"(Black, Male, 39, 1); (Black, Male, 38, 2)"
22669,04/14/2019,10,,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated); (Excessive Force, Unfounded); (Biased Based Policing, Unfounded)",,"(White, Male, 36, 12); (White, Male, 48, 23); (White, Male, 41, 18)"
22673,04/15/2019,18,23513,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, TARP",Yes,Yes,Yes,No,,No,No,,"(Black, Female, 39)","(White, Male, 29, 2); (White, Male, 31, 7); (White, Male, 28, 5); (White, Female, 43, 1)"
22674,04/15/2019,18,23513,Trespassing,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 40)","(White, Male, 29, 2); (White, Male, 27, 1); (White, Male, 28, 5); (White, Male, 28, 5)"
22677,03/15/2019,11,23504,,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: General Order - Administrative, Unfounded); (Civil Rights Violation, Substantiated)",,"(White, Male, 26, 2); (White, Male, 74, 1)"
22682,03/24/2019,15,23513,Medical Assistance,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Hispanic, Male, 23)","(White, Male, 41, 12); (Unknown, Male, 28, 2)"
22683,04/16/2019,22,23504,Traffic Stop,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 37)","(White, Male, 28, 3)"
22693,04/17/2019,13,23508,Domestic Disturbance,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(Black, Male, 14)","(Unknown, Unknown, , 4)"
22698,04/17/2019,21,23502,Service Call,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,,No,No,,"(, Female, )","(White, Male, 43, 10); (Black, Male, 21, 0); (Black, Male, 54, 14)"
22701,04/18/2019,1,23503,Officer Initiated Event,Use of force,"Empty/Soft Hand Control, OC Spray",Yes,Yes,No,No,,No,No,,"(Black, Female, 40)","(White, Male, 39, 2); (White, Male, 35, 4); (White, Male, 24, 0)"
22704,04/15/2019,,,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded); (Excessive Force, Unfounded); (Civil Rights Violation, Unfounded); (Biased Based Policing, Unfounded)",,"(Asian, Male, 33, 9)"
22706,04/18/2019,13,23513,Pursuit,Use of force,Empty/Soft Hand Control,No,No,No,No,,No,No,,"(Black, Male, 30)","(White, Male, 33, 11); (Asian, Male, 37, 10)"
22707,04/18/2019,15,23502,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, TARP",Yes,Yes,Yes,No,Other Injury/Condition,No,Yes,,"(Hispanic, Male, 49)","(White, Male, 25, 1); (White, Male, 30, 3)"
22709,04/18/2019,14,23523,Traffic Stop,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(Black, Male, 23)","(White, Male, 26, 2); (White, Female, 22, 0)"
22711,04/18/2019,2,23518,Domestic Disturbance,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(White, Male, 39)","(White, Male, 22, 1); (White, Male, 41, 3); (White, Male, 25, 0)"
22714,04/18/2019,21,23505,Psychiatric,Use of force,"Empty/Soft Hand Control, TARP",No,Yes,No,No,,No,No,,"(White, Male, 15)","(White, Male, 26, 1); (White, Male, 33, 4)"
22723,04/21/2019,0,23504,Person w/ Weapon,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,Yes,Yes,No,,No,No,,"(Hispanic, Male, 20)","(White, Male, 29, 4); (Asian, Male, 33, 9)"
22724,04/20/2019,20,23503,Suspicious Situation,Use of force,Hard Hand Control Tact.,Yes,No,No,No,,No,No,,"(Black, Male, 17)","(Unknown, Male, 28, 2)"
22727,04/21/2019,10,23505,Psychiatric,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact., ECW",No,Yes,No,No,,No,No,,"(Black, Male, 24)","(White, Male, 24, 2); (White, Male, 26, 2); (White, Male, 25, 1); (White, Male, 29, 6); (White, Male, 22, 0); (White, Male, 43, 16)"
22734,04/21/2019,22,23502,Traffic Stop,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(Black, Male, 64)","(White, Male, 28, 3); (Black, Male, 24, 1)"
22740,04/22/2019,14,23518,Traffic Stop,Use of force,"Hard Hand Control Tact., TARP",Yes,Yes,Yes,No,Other Injury/Condition,No,Yes,,"(Black, Male, 50)","(White, Male, 29, 1); (White, Male, 22, 1); (White, Male, 41, 3); (White, Male, 24, 0); (White, Male, 36, 14)"
22747,04/22/2019,19,23510,,Citizen Complaint,,No,No,No,No,,No,No,"(Fail to Provide Police Services, Exonerated)",,"(White, Male, 26, 3)"
22748,04/23/2019,11,,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded); (Fail to Provide Police Services, Unfounded)",,"(, , , 4)"
22749,04/20/2019,2,23504,,Citizen Complaint,,No,No,No,No,,No,No,"(Fail to Provide Police Services, Exonerated); (Fail to Provide Police Services, Exonerated); (Fail to Provide Police Services, Exonerated); (Fail to Provide Police Services, Exonerated); (Fail to Provide Police Services, Exonerated)",,"(White, Male, 36, 6); (White, Male, 32, 6); (Black, Female, 42, 16); (Black, Male, 49, 16); (Black, Male, 48, 22)"
22751,04/17/2019,19,23505,Psychiatric,Use of force,"Empty/Soft Hand Control, TARP",Yes,No,No,No,,No,Yes,,"(Black, Male, 14)","(White, Male, 25, 2); (White, Male, 25, 1); (Unknown, Female, 27, 2)"
22752,04/23/2019,15,23518,Narcotics,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,Other Injury/Condition,No,No,,"(Black, Male, 23)","(White, Male, 33, 7); (Black, Male, 57, 21)"
22763,04/22/2019,14,,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded); (Fail to Provide Police Services, Unfounded); (Biased Based Policing, Unsubstantiated); (Policy Violation: General Order - Operational, Substantiated)",,"(White, Male, 26, 1)"
22770,04/25/2019,21,23504,Trespassing,Use of force,Empty/Soft Hand Control,No,No,No,No,,No,No,,"(Black, Female, 15)","(White, Male, 30, 3); (Unknown, Male, 38, 5)"
22771,04/25/2019,19,23502,Narcotics,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 31)","(Black, Male, 27, 5)"
22772,04/25/2019,23,23517,Psychiatric,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(White, Male, 28)","(White, Male, 24, 3); (Unknown, Unknown, , 3)"
22774,04/26/2019,0,23518,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,No,No,No,No,,No,No,,"(Black, Male, 33)","(White, Male, 36, 12); (White, Male, 25, 1)"
22783,04/27/2019,3,23502,Service Call,Use of force,"Empty/Soft Hand Control, ECW, Forced Entry",Yes,No,No,No,,No,No,,"(Black, Male, 32)","(White, Male, 26, 2); (White, Male, 25, 1); (White, Male, 29, 1); (White, Male, 35, 9); (White, Female, 22, 0); (Black, Male, 33, 3); (Black, Male, 44, 11); (Asian, Male, 28, 7)"
22793,03/21/2019,15,23502,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated)",,"(Unknown, Unknown, , )"
22800,04/26/2019,,,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Substantiated)",,"(White, Female, 57, 15)"
22806,04/30/2019,13,23502,Person w/ Weapon,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Unknown, Male, ); (Hispanic, Male, 28)","(Black, Male, 39, 1)"
22864,04/16/2019,15,23504,,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: Police Officer's Manual, Unfounded); (Policy Violation: Police Officer's Manual, Unfounded)",,"(White, Male, 28, 2); (White, Male, 31, 2)"
22865,04/22/2019,10,,,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: Police Officer's Manual, Exonerated); (Policy Violation: Police Officer's Manual, Exonerated)",,"(White, Male, 41, 3); (White, Male, 24, )"
22873,05/03/2019,21,23502,Assault/Disorderly Subj,Use of force,Hard Hand Control Tact.,Yes,No,No,No,,No,No,,"(Black, Male, 17)","(White, Male, 27, 6); (Black, Female, 37, 18)"
22875,05/03/2019,21,23502,Other,Use of force,OC Spray,No,No,No,No,,No,No,,"(Black, Female, 15); (Black, Female, )","(White, Male, 40, 6)"
22876,05/03/2019,21,23502,Assault/Disorderly Subj,Use of force,OC Spray,No,No,Yes,No,,No,No,,"(Black, Female, ); (Unknown, Female, )","(White, Male, 28, 7)"
22878,05/04/2019,4,23513,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,No,No,No,,No,Yes,,"(Black, Female, 33)","(White, Male, 25, 2); (White, Male, 22, 1); (White, Male, 29, 6); (White, Female, 28, 5)"
22880,05/03/2019,19,23502,Accident Investigation,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",No,No,No,No,,No,No,,"(White, Male, 23)","(White, Male, 40, 12); (Asian, Male, 49, 20)"
22885,05/04/2019,1,23510,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(White, Male, 25)","(White, Male, 31, 5); (White, Female, 25, 2)"
22904,05/06/2019,10,23523,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,No,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 14)","(White, Male, 29, 6)"
22917,05/04/2019,14,23513,,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: Police Officer's Manual, Substantiated)",,"(White, Male, 45, 18)"
22938,05/03/2019,21,23502,Assault/Disorderly Subj,Use of force,OC Spray,No,No,No,No,,No,No,,"(Unknown, Male, 0)","(Black, Female, 38, 14)"
22943,04/27/2019,4,,,Citizen Complaint,,No,No,No,No,,No,No,"(Biased Based Policing, Unfounded); (Civil Rights Violation, Unfounded)",,"(White, Male, 39, 1)"
22944,05/07/2019,14,23513,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, OC Spray",No,No,No,No,,No,No,,"(Black, Male, )","(White, Male, 28, 5); (White, Male, 34, 6)"
22946,05/07/2019,18,23504,Psychiatric,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(White, Female, 47)","(White, Male, 33, 4); (Asian, Female, 23, 0)"
22947,05/07/2019,19,23510,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 43)","(Black, Male, 33, 3)"
22956,05/08/2019,11,23503,Traffic Stop,Use of force,"Hard Hand Control Tact., OC Spray",Yes,No,No,No,,No,Yes,,"(Black, Male, 41)","(White, Male, 27, 2); (White, Male, 27, 2); (White, Male, 29, 4)"
22961,05/08/2019,17,23510,Violent Felony,Use of force,"Hard Hand Control Tact., ECW",Yes,Yes,No,No,Other Injury/Condition,Yes,Yes,,"(Black, Male, 26)","(White, Male, 27, 3); (White, Male, 54, 29); (White, Female, 49, 23)"
22968,05/08/2019,19,23513,Psychiatric,Use of force,ECW,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(White, Male, 19)","(White, Male, 43, 16); (White, Male, 22, 0); (Hispanic, Male, 47, 23)"
22970,05/09/2019,20,23607,Psychiatric,Use of force,Empty/Soft Hand Control,No,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 70)","(White, Male, 30, 7)"
22971,05/10/2019,9,23518,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unsubstantiated); (Failure to Activate BWC, Substantiated); (Failure to Activate BWC, Substantiated)",,"(White, Male, 30, 8); (White, Male, 28, 7); (Black, Male, 33, 9)"
22981,05/07/2019,3,23515,Suspicious Situation,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 50)","(White, Male, 39, 1); (White, Male, 30, 6); (White, Female, 31, 3); (Black, Male, 51, 1)"
22988,05/11/2019,3,23508,Psychiatric,Use of force,"Empty/Soft Hand Control, OC Spray",Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 22)","(White, Male, 29, 1); (Unknown, Unknown, 24, 1); (Hispanic, Male, 37, 11)"
22995,05/11/2019,3,23502,Psychiatric,Use of force,"Empty/Soft Hand Control, TARP",Yes,Yes,No,No,,No,No,,"(Black, Female, 21)","(Black, Female, 28, 3); (Black, Male, 25, 2); (Black, Male, 25, 1); (Unknown, Male, 31, 1)"
23001,05/14/2019,0,23510,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Female, 28)","(White, Male, 29, 1); (White, Male, 27, 4); (Unknown, Unknown, , 3)"
23026,05/16/2019,21,23508,Traffic Stop,Use of force,Empty/Soft Hand Control,No,No,No,No,,No,No,,"(Black, Male, 34)","(White, Male, 32, 6); (Unknown, Unknown, 27, 4)"
23038,05/16/2019,21,23508,,Citizen Complaint,,No,No,No,No,,No,No,"(Courtesy, Unfounded); (Courtesy, Unfounded); (Courtesy, Unfounded); (Excessive Force, Exonerated); (Excessive Force, Exonerated); (Excessive Force, Exonerated)",,"(White, Male, 32, 6); (White, Male, 30, 8); (, , 27, 4)"
23042,05/17/2019,22,23503,Service Call,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Female, 26)","(White, Male, 29, 2); (White, Male, 29, 6); (White, Male, 27, 2); (Black, Male, 32, 7)"
23043,05/18/2019,2,23502,Domestic Disturbance,Use of force,Empty/Soft Hand Control,Yes,Yes,Yes,No,,No,No,,"(Black, Male, 25)","(White, Male, 37, 3); (White, Male, 28, 7)"
23045,05/18/2019,20,23504,Traffic Stop,Use of force,"Empty/Soft Hand Control, OC Spray",Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 35)","(White, Male, 38, 14); (Black, Male, 59, 10); (Unknown, Male, 31, 1)"
23049,05/19/2019,22,23518,Assault/Disorderly Subj,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,No,No,No,,No,No,,"(Black, Male, 29)","(White, Male, 27, 2); (White, Male, 29, 2); (White, Male, 63, 44); (Unknown, Male, 27, 3); (Unknown, Unknown, , 3)"
23069,05/21/2019,15,23513,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Female, 48)","(White, Male, 29, 1); (White, Female, 26, 2)"
23076,05/21/2019,20,23518,,Citizen Complaint,,No,No,No,No,,No,No,"(Civil Rights Violation, Substantiated)",,"(White, Male, 24, 1)"
23082,05/23/2019,3,23504,Traffic Stop,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,Yes,,"(Black, Male, 27)","(Unknown, Unknown, 25, 1)"
23083,05/23/2019,10,23510,Psychiatric,Use of force,Empty/Soft Hand Control,No,Yes,No,No,,No,No,,"(Black, Male, 25)","(White, Male, 32, 8); (White, Male, 40, 12)"
23086,05/23/2019,20,23503,Officer Initiated Event,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",Yes,Yes,Yes,No,Other Injury/Condition,Yes,Yes,,"(Hispanic, Male, 18)","(White, Male, 28, 5); (White, Male, 39, 15); (Unknown, Unknown, 27, 4); (Unknown, Unknown, , 3)"
23089,05/18/2019,,23503,,Citizen Complaint,,No,No,No,No,,No,No,"(Policy Violation: Police Officer's Manual, Unfounded)",,"(White, Male, 31, 5)"
23093,05/24/2019,23,23504,Traffic Stop,Use of force,ECW,Yes,No,No,No,,No,No,,"(Black, Male, 43)","(White, Male, 26, 2); (White, Male, 74, 1)"
23097,05/25/2019,19,23504,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Female, 40)","(Unknown, Unknown, 25, 1); (Asian, Male, 33, 9)"
23106,05/27/2019,0,23513,Violent Felony,Use of force,Canine,Yes,Yes,Yes,No,Canine Bite,No,No,,"(Black, Male, 21)","(White, Male, 39, 16); (White, Male, 35, 6); (Black, Female, 27, 3); (Black, Male, 39, 13); (Unknown, Male, 26, 2); (Asian, Male, 48, 19)"
