Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Month,Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Year,Record Count,Record Count
,,Arrest-Misdemeanor,Sunday,,,,Takedown,,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),1062150,North Precinct,11,,176517949,381478,White,Male,Yes,38,176899427,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,Sunday,,,,Takedown,,,,,,,,1800-2359,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,July,,,214861,Central Precinct,0,,511517772,535640,White,Male,Yes,35,512053412,Active,,,,,,,,Self-Initiated,Yes,Yes,,2017,1,1
,,Arrest-Misdemeanor,Sunday,,,,Takedown,,,,,,,,1800-2359,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,July,,,148661,Central Precinct,5,,511517772,535640,White,Male,Yes,35,512053412,Active,,,,,,,,Self-Initiated,Yes,,,2017,1,1
,,Arrest-Misdemeanor,Sunday,,,,Takedown,,,,,,,,1800-2359,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,July,,,920631,Central Precinct,6,,511517772,535640,White,Male,Yes,35,512053412,Aggressive,,,,,,,,Self-Initiated,Yes,,,2017,1,1
,,Arrest-Misdemeanor,Sunday,,Firearm - Implied,,CEW,Takedown,CEW,,,,,,1800-2359,Warrant,WARRANT,,,July,,,166661,North Precinct,6,,243518080,515811,Black,Male,No,26,244033891,Active,Active,Active,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Misdemeanor,Sunday,,Firearm - Implied,,Takedown,Control Against Resistance,Takedown,,,,,,1800-2359,Warrant,WARRANT,,,July,,,243671,North Precinct,5,,243518080,515811,Black,Male,No,26,244033891,Active,Active,Active,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Warrant,Sunday,,,,PFA,,,,,,,,0000-0559,Warrant,WARRANT,,No,July,,No weapon (unarmed),172561,East Precinct,7,,728517765,548041,White,Male,No,25,729065806,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Warrant,Sunday,,,,PFA,,,,,,,,1800-2359,Subject Stop,PERSON CONTACT (86),,No,August,,No weapon (unarmed),326279,Central Precinct,9,,359518221,601059,White,Male,Yes,29,360119280,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Warrant,Sunday,,,,Takedown,,,,,,,,0000-0559,Other,DETAIL,,No,July,,No weapon (unarmed),276671,Central Precinct,7,,481518122,413207,White,Male,No,22,481931329,Active,,,,,,,,Self-Initiated,Yes,,,2017,1,1
,,Detained and Released,Sunday,,,,PFA,,,,,,,,0000-0559,Shots Fired,SHOTS FIRED,,No,August,,,836731,East Precinct,1,,477518302,435380,White,Female,No,23,477953682,Passive,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Detained and Released,Sunday,,,,PFA,,,,,,,,0000-0559,Shots Fired,SHOTS FIRED,,No,August,,,649511,East Precinct,8,,477518302,435380,White,Female,No,23,477953682,Passive,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Release to Medical,Sunday,,,,Takedown,,,,,,,,0600-1159,Welfare Check,WELFARE CHECK - PRIORITY,,Yes,July,,No weapon (unarmed),808220,North Precinct,10,,153517949,275848,Black,Female,No,26,153793797,Aggressive,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Monday,,,,K9,,,,,,,,0000-0559,Assist,ASSIST - CITIZEN OR AGENCY,,,July,,No weapon (unarmed),880630,K9,15,,889518046,457547,White,Male,No,59,889975593,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Monday,,,,Takedown,,,,,,,,0000-0559,Subject Stop,PERSON CONTACT (86),,,August,,No weapon (unarmed),1056551,Central Precinct,2,,520518313,590225,White,Male,No,39,521108538,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Misdemeanor,Monday,,,,PFA,,,,,,,,1200-1759,Threat,THREAT - PRIORITY,,,July,,,650810,Central Precinct,13,,146518049,3696548,Black,Male,No,25,150214597,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Monday,,,,Takedown,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,August,,No weapon (unarmed),501691,North Precinct,5,,672518314,420924,White,Male,No,20,672939238,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Misdemeanor,Monday,,,,Takedown,Strikes/kicks,,,,,,,0600-1159,Threat,THREAT - PRIORITY,,,August,,No weapon (unarmed),1010941,Central Precinct,2,,757518045,3822814,Black,Female,Yes,36,761340859,Aggressive,Active,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Misdemeanor,Monday,,,,Takedown,Strikes/kicks,,,,,,,0600-1159,Threat,THREAT - PRIORITY,,,August,,No weapon (unarmed),1042951,Central Precinct,2,,757518045,3822814,Black,Female,Yes,36,761340859,Aggressive,Active,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Warrant,Monday,,,,PFA,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,No,July,,No weapon (unarmed),882128,North Precinct,25,,719518135,440042,Hispanic,Male,Yes,22,719958177,Passive,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Warrant,Monday,,,,Takedown,,,,,,,,1800-2359,Warrant,WARRANT,,,August,,,967940,North Precinct,9,,887518326,258975,White,Male,Yes,50,887777301,Active,,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Detained and Released,Monday,,,,PFA,,,,,,,,1800-2359,Suspicious,SUSPICIOUS - WITH WEAPON *H,,,July,,,175560,North Precinct,15,,272517880,162708,Black,Male,Yes,45,272680588,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Detained and Released,Monday,Firearm,,,PFA,,,,,,,,0000-0559,Stolen Vehicle,VEHICLE STOLEN - COLD,,,July,,,501691,North Precinct,5,,72518118,440042,Hispanic,Male,Yes,22,72958160,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Detained and Released,Monday,Firearm,,,PFA,,,,,,,,0000-0559,Stolen Vehicle,VEHICLE STOLEN - COLD,,,July,,,501691,North Precinct,5,,72518118,486801,Native American,Male,Yes,24,73004919,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Escaped,Monday,,,,PFA,,,,,,,,0000-0559,Alarm,ALARM - AUDIBLE / MONITORED,,,August,,No weapon (unarmed),791219,North Precinct,18,,752518225,,White,Male,,,,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Release to Medical,Monday,,,,Kinetic Impact Projectile (KIP),Kinetic Impact Projectile (KIP),Kinetic Impact Projectile (KIP),Kinetic Impact Projectile (KIP),Kinetic Impact Projectile (KIP),Kinetic Impact Projectile (KIP),,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,Yes,August,,,368581,Central Precinct,6,,584518233,624149,White,Male,Yes,38,585142382,Active,Active,Active,Active,Active,Active,,,Dispatched,Yes,Yes,,2017,1,1
,,Release to Medical,Monday,,,,PFA,,,,,,,,1200-1759,Assault,SHOOTING - WITH WEAPON *H,,,July,,,202461,North Precinct,8,,733517875,168270,Black,Male,No,71,733686145,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Release to Medical,Monday,,,,PFA,,,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,Yes,August,,,326279,Central Precinct,9,,584518233,624149,White,Male,Yes,38,585142382,Active,,,,,,,,Dispatched,Yes,Yes,,2017,1,1
,,Arrest-Felony,Tuesday,,,,PFA,,,,,,,,1800-2359,Subject Stop,PERSON CONTACT (86),,,July,,,1064051,North Precinct,1,,501517982,534233,Hispanic,Male,No,31,502052215,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Tuesday,,,,PFA,,,,,,,,0000-0559,Domestic Violence,DISTURBANCE - DOMESTIC - WITH WEAPON *H,,No,July,,,607097,East Precinct,23,,212517790,1389053,White,Male,No,34,213906843,Passive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Tuesday,,,,PFA,,,,,,,,0600-1159,TriMet,TRIMET INCIDENT - WITH WEAPON *H,,,July,,,349979,TOD,19,,549517883,606118,Hispanic,Male,No,18,550124001,Passive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Tuesday,,,,PFA,,,,,,,,0600-1159,TriMet,TRIMET INCIDENT - WITH WEAPON *H,,,July,,,198958,Transit (PPB Only),27,,549517883,606118,Hispanic,Male,No,18,550124001,Passive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Tuesday,,,,Takedown,,,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),218259,Traffic,14,,937517977,3553392,White,Female,No,17,941071369,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Misdemeanor,Tuesday,,,,Takedown,,,,,,,,1800-2359,Assist,RIVER - MARINE INCIDENT,,,July,,No weapon (unarmed),972240,Central Precinct,10,,135517979,3758680,White,Male,Yes,29,139276659,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,Tuesday,,,,Takedown,,,,,,,,1800-2359,Robbery,ROBBERY - PRIORITY *H,,,July,,No weapon (unarmed),1043450,North Precinct,8,,456517982,291161,White,Male,No,46,456809143,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Misdemeanor,Tuesday,,,,Takedown,,,,,,,,1800-2359,Suspicious,SUSPICIOUS - PRIORITY,,No,August,,No weapon (unarmed),243370,Central Precinct,9,,75518248,3820335,Black,Male,No,52,79338583,Active,,,,,,,,Dispatched,No,No,,2017,1,1
,,Arrest-Warrant,Tuesday,,,,Takedown,,,,,,,,1200-1759,Vice,"DRUGS, LIQUOR, PROSTITUTION",,No,July,Needle / Spit / Bodily Fluids,,476388,East Precinct,23,,19517978,624608,White,Male,Yes,32,20142586,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Detained and Released,Tuesday,,,,PFA,,,,,,,,0000-0559,Shots Fired,SHOTS FIRED,,No,July,,No weapon (unarmed),1007239,North Precinct,17,,222517790,7208743,Hispanic,Male,Yes,27,229726533,Passive,,,,,,,,Dispatched,,,,2017,1,1
,,Detained and Released,Tuesday,,,,PFA,,,,,,,,1800-2359,Stolen Vehicle,VEHICLE STOLEN - COLD,,No,July,,No weapon (unarmed),942039,East Precinct,18,,843517766,620349,White,Female,Yes,22,844138115,Passive,,,,,,,,Self-Initiated,,,,2017,1,1
,,Detox,Tuesday,,,,Takedown,,,,,,,,0000-0559,Suspicious,SUSPICIOUS - PRIORITY,,No,July,,No weapon (unarmed),432690,East Precinct,15,,122518059,615195,White,Male,No,33,123133254,Active,,,,,,,,Dispatched,Yes,No,,2017,1,1
,,Detox,Tuesday,,,,Takedown,,,,,,,,1200-1759,Suspicious,SUSPICIOUS - PRIORITY,,No,July,,No weapon (unarmed),415579,East Precinct,21,,122518059,615195,White,Male,No,33,123133254,Active,,,,,,,,Dispatched,Yes,No,,2017,1,1
,,Arrest-Felony,Wednesday,,,,PFA,,,,,,,,1200-1759,Area/Premise Check,PREMISE CHECK,,,July,,No weapon (unarmed),403379,East Precinct,15,,222517900,881998,Black,Male,Yes,37,223399898,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Wednesday,,,,PFA,,,,,,,,1200-1759,Area/Premise Check,PREMISE CHECK,,,July,,No weapon (unarmed),403379,East Precinct,15,,222517900,290665,Black,Male,Yes,46,222808565,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Wednesday,,,,PFA,,,,,,,,1200-1759,Burglary,BURGLARY - PRIORITY *H,,,July,,No weapon (unarmed),777419,Central Precinct,,,831518076,840939,White,Male,No,41,832359015,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Felony,Wednesday,,,,PFA,,,,,,,,1200-1759,Stolen Vehicle,VEHICLE STOLEN - COLD,,Unclear,July,,No weapon (unarmed),1061749,Central Precinct,20,,531517793,1766615,White,Female,No,32,533284408,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Wednesday,,,,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,,,,0000-0559,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,August,,No weapon (unarmed),797721,East Precinct,5,,196518249,1874863,White,Male,Yes,34,198393112,Active,Active,Active,Active,Active,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Wednesday,,,,Takedown,,,,,,,,0000-0559,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,August,,No weapon (unarmed),180060,East Precinct,11,,196518249,1874863,White,Male,Yes,34,198393112,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Wednesday,,,,Takedown,,,,,,,,1200-1759,Threat,THREAT - PRIORITY,,,July,,No weapon (unarmed),1098151,East Precinct,0,,796518075,591940,Black,Male,Yes,33,797110015,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Wednesday,,,,Takedown,,,,,,,,1200-1759,Threat,THREAT - PRIORITY,,,July,,No weapon (unarmed),514690,East Precinct,13,,796518075,591940,Black,Male,Yes,33,797110015,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Wednesday,,,,Takedown,,,,,,,,1200-1759,Threat,THREAT - PRIORITY,,,July,,No weapon (unarmed),940938,East Precinct,23,,796518075,591940,Black,Male,Yes,33,797110015,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Wednesday,,,,Takedown,,,,,,,,1200-1759,Welfare Check,WELFARE CHECK - COLD,,No,July,,No weapon (unarmed),751121,East Precinct,0,,353517811,438452,White,Male,No,34,353956263,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Wednesday,,,,Takedown,,,,,,,,1200-1759,Welfare Check,WELFARE CHECK - COLD,,No,July,,No weapon (unarmed),776021,East Precinct,1,,353517811,438452,White,Male,No,34,353956263,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,Wednesday,,,,Takedown,,,,,,,,1200-1759,Welfare Check,WELFARE CHECK - COLD,,No,July,,No weapon (unarmed),648809,East Precinct,20,,353517811,438452,White,Male,No,34,353956263,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Misdemeanor,Wednesday,,,,CEW,,,,,,,,0000-0559,Behavioral Health,ECIT,,,July,,No weapon (unarmed),906630,North Precinct,15,,532517803,475787,Black,Male,No,26,532993590,Aggressive,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,Wednesday,,,,Takedown,,,,,,,,0600-1159,Unwanted Person,UNWANTED PERSON,,,August,,No weapon (unarmed),650810,Central Precinct,13,,341518341,293776,White,Male,Yes,35,341812117,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,Wednesday,,Firearm - Implied,,Takedown,Control Against Resistance,,,,,,,1800-2359,Warrant,WARRANT,,,July,,,937541,North Precinct,7,,243518080,515811,Black,Male,No,26,244033891,Active,Active,,,,,,,Self-Initiated,,,,2017,1,1
,,Release to Medical,Wednesday,,,,Chemical Incapacitant - handheld,,,,,,,,0000-0559,Disturbance,DISTURBANCE - WITH WEAPON *H,,,July,,,915631,East Precinct,6,,631517804,445841,Black,Female,No,35,631963645,Aggressive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Cited,Thursday,,,,Takedown,,,,,,,,1200-1759,Subject Stop,PERSON CONTACT (86),,,August,,No weapon (unarmed),855830,Central Precinct,7,,509518182,176920,Black,Male,Yes,56,509695102,Active,,,,,,,,Self-Initiated,,Yes,,2017,1,1
,,Arrest-Felony,Thursday,,,,PFA,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,July,,No weapon (unarmed),427089,North Precinct,12,,983522487,452689,Asian,Male,Yes,31,983975176,Passive,,,,,,,,Self-Initiated,,Yes,,2017,1,1
,,Arrest-Felony,Thursday,,,,PFA,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,August,,,164861,Central Precinct,3,,291518270,1834361,White,Female,No,37,293352631,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,Thursday,,,,PFA,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,August,,,243370,Central Precinct,9,,291518270,1834361,White,Female,No,37,293352631,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,Thursday,,,,PFA,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,August,,,1053849,Central Precinct,15,,291518270,1834361,White,Female,No,37,293352631,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,Thursday,,,,PFA,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,August,,No weapon (unarmed),910731,North Precinct,4,,641518274,153248,Black,Male,No,54,641671522,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Felony,Thursday,,,,PFA,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,August,,No weapon (unarmed),949741,North Precinct,4,,641518274,153248,Black,Male,No,54,641671522,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Felony,Thursday,,,,Takedown,,,,,,,,0600-1159,Welfare Check,WELFARE CHECK - PRIORITY,,,July,,No weapon (unarmed),232269,K9,14,,109517818,157945,Black,Male,Yes,41,109675763,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,Thursday,,,,Takedown,,,,,,,,1800-2359,Robbery,ROBBERY - PRIORITY *H,,,August,,No weapon (unarmed),307070,Central Precinct,10,,579518363,390858,White,Female,No,37,579909221,Active,,,,,,,,Dispatched,Yes,,,2017,1,1
,,Arrest-Felony,Friday,,,,PFA,,,,,,,,0000-0559,Subject Stop,PERSON CONTACT (86),,,July,,No weapon (unarmed),924741,North Precinct,4,,411517921,563995,Hispanic,Male,No,31,412081916,Active,,,,,,,,Self-Initiated,Yes,,,2017,1,1
,,Arrest-Felony,Friday,,,,PFA,,,,,,,,0000-0559,Traffic Stop,TRAFFIC STOP,,,July,,No weapon (unarmed),1102751,East Precinct,4,,61518098,3663767,White,Male,Yes,38,65181865,Active,,,,,,,,Self-Initiated,,Yes,,2017,1,1
,,Arrest-Felony,Friday,,,,PFA,,,,,,,,1800-2359,Burglary,BURGLARY - PRIORITY *H,,,July,,No weapon (unarmed),166260,East Precinct,10,,347517931,305391,White,Male,Yes,47,347823322,Passive,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Felony,Friday,,,,PFA,,,,,,,,1800-2359,Burglary,BURGLARY - PRIORITY *H,,,July,,No weapon (unarmed),1100050,East Precinct,11,,347517931,305391,White,Male,Yes,47,347823322,Passive,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Felony,Friday,,,,Takedown,,,,,,,,0000-0559,Disturbance,DISTURBANCE - COLD,,,August,,,1047348,Central Precinct,23,,842518276,618674,White,Male,Yes,21,843136950,Active,,,,,,,,Dispatched,Yes,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Friday,,,,PFA,,,,,,,,0000-0559,Threat,THREAT - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,No,July,,,695410,East Precinct,9,,341517831,588396,Black,Male,No,33,342106227,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Friday,,,,Takedown,,,,,,,,1200-1759,TriMet,TRIMET INCIDENT - COLD,,,July,,No weapon (unarmed),218259,Traffic,14,,641518104,464024,Black,Female,Yes,28,641982128,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Cite and Release,Friday,Firearm,,,PFA,,,,,,,,1800-2359,Other,UNDESCRIBED INCIDENT,,No,July,,,1027551,East Precinct,7,,486517842,397037,White,Male,No,24,486914879,Passive,,,,,,,,Self-Initiated,,,,2017,1,1
,,Detained and Released,Friday,,,,PFA,PFA,,,,,,,0600-1159,Robbery,ROBBERY - WITH WEAPON *H,,No,July,,,606800,Central Precinct,13,,367517831,302620,Black,Male,No,40,367820451,Active,Active,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Detained and Released,Friday,,,,Strikes/kicks,Strikes/kicks,Takedown,,,,,,0000-0559,Subject Stop,PERSON CONTACT (86),,Unclear,August,,No weapon (unarmed),1043450,North Precinct,8,,809518275,562477,White,Male,No,41,810080752,Active,Active,Active,,,,,,Self-Initiated,,Yes,,2017,1,1
,,Arrest-Felony,Saturday,,,,PFA,,,,,,,,0000-0559,Shots Fired,SHOTS FIRED,,,July,,,353581,North Precinct,6,,841517936,619578,White,Male,No,22,842137514,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Saturday,,,,CEW,,,,,,,,0000-0559,Collision,ACCIDENT - UNKNOWN INJURY,,,August,,No weapon (unarmed),953641,Central Precinct,6,,417518202,583208,White,Male,No,26,418101410,Active,,,,,,,,Self-Initiated,Yes,Yes,,2017,1,1
,,Arrest-Misdemeanor,Saturday,,,,PFA,,,,,,,,1200-1759,Suspicious,SUSPICIOUS - WITH WEAPON *H,,,July,,,1027551,East Precinct,7,,291517850,594948,Hispanic,Male,No,19,292112798,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Saturday,,,,Takedown,,,,,,,,0000-0559,Assist,MEDICAL ASSIST,,,July,,,213461,East Precinct,1,,577517753,1692187,Black,Male,No,21,579209940,Active,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Saturday,,,,Takedown,,,,,,,,1800-2359,Unwanted Person,UNWANTED PERSON,,,July,,No weapon (unarmed),536699,East Precinct,12,,405517851,3497812,White,Female,Yes,26,409015663,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
