Master Subject ID,Subject Sex,APD Race,Subject Resistance,Subject Effects,Council District,Date Occurred,ZIP,CENSUS_TRACT,LOCATION,X_COORDINATE,Y_COORDINATE,COUNTY
216138326: 20193581158,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,12/24/2019 12:00:00 AM,78723,21,5517 CAMERON RD,3126066,10087340,1
288774992: 20193580587,F,W,AGGRESSIVE RESISTANCE,MINOR INJURY,8,12/24/2019 12:00:00 AM,78749,-,3610 BANNOCKBURN DR,3086227,10050587,1
33426293: 20193581361,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,1,12/24/2019 12:00:00 AM,78754,-,11513 GOSSAMER DR,3142465,10110614,1
459348459: 20193581504,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/24/2019 12:00:00 AM,78701,11,E 6TH ST / SABINE ST,3116435,10070115,1
288884290: 20193580838,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/24/2019 12:00:00 AM,78724,-,8402 GARCREEK CIR,3149859,10081222,1
99615434: 20193580949,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/24/2019 12:00:00 AM,78721,-,1160 BLOCK SPRINGDALE RD,3131566,10074688,1
459273655: 20193581351,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/24/2019 12:00:00 AM,78741,23.14,4404 E OLTORF ST,3119889,10055968,1
459711142: 20193580443,F,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,2,12/24/2019 12:00:00 AM,78719,9800,3600 PRESIDENTIAL BLVD,3138850,10047302,1
459370640: 20193581223,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/24/2019 12:00:00 AM,78721,21,1703 J J SEABROOK DR,3130833,10076497,1
163840333: 20193571399,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,12/23/2019 12:00:00 AM,78701,11,700 CONGRESS AVE,3114351,10071176,1
216533903: 20193571412,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,1,12/23/2019 12:00:00 AM,78723,21,SHERIDAN AVE / CLAYTON LN,3126673,10089400,1
317983883: 20193571004,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/23/2019 12:00:00 AM,78741,23.16,2425 E RIVERSIDE DR,3120233,10058980,1
373884119: 20193570556,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/23/2019 12:00:00 AM,78723,3,1201 BARBARA JORDAN BLVD,3124601,10084923,1
22348189: 20193570547,M,W,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/23/2019 12:00:00 AM,78701,11,500 CONGRESS AVE,3114084,10070517,1
459592507: 20193571759,F,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,1,12/23/2019 12:00:00 AM,78723,-,5307 HALMARK DR,3134118,10081827,1
12910894: 20193571306,F,W,DEFENSIVE RESISTANCE,MINOR INJURY,8,12/23/2019 12:00:00 AM,78736,-,7101 W SH 71,3072006,10057574,1
294326024: 20193560365,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,5,12/22/2019 12:00:00 AM,78745,17.13,2513 BERKETT DR,3093779,10050048,1
459593237: 20193560685,F,W,DEFENSIVE RESISTANCE,MINOR INJURY,7,12/22/2019 12:00:00 AM,78753,-,11420 N IH 35 SVRD SB,3134723,10111990,1
132646694: 20193561615,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/22/2019 12:00:00 AM,78724,-,6912 CARWILL DR,3144852,10083501,1
459885322: 20193560167,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/22/2019 12:00:00 AM,78701,11,308 E 6TH ST,3115257,10070495,1
459884964: 20193560056,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,5,12/22/2019 12:00:00 AM,78744,24.29,S IH 35 SVRD NB / E SLAUGHTER LN,3101841,10033710,1
459780726: 20193560167,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/22/2019 12:00:00 AM,78701,11,308 E 6TH ST,3115257,10070495,1
458967208: 20193561427,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,9,12/22/2019 12:00:00 AM,78701,-,812 W 12TH ST,3112291,10073776,1
356648815: 20193561386,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/22/2019 12:00:00 AM,78741,23,2320 E RIVERSIDE DR,3120125,10059785,1
132645162: 20193561615,M,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,1,12/22/2019 12:00:00 AM,78724,-,6912 CARWILL DR,3144852,10083501,1
459799746: 20193551657,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/21/2019 12:00:00 AM,78741,23.14,GROVE BLVD / E RIVERSIDE DR,3125670,10056090,1
175309618: 20193550178,M,H,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,12/21/2019 12:00:00 AM,78757,-,8940 RESEARCH BLVD SVRD SB,3120181,10108009,1
458838320: 20193551429,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/21/2019 12:00:00 AM,78702,9,N IH 35 SVRD NB / E 6TH ST,3117047,10069933,1
459702225: 20193551850,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/21/2019 12:00:00 AM,78745,-,5248 MEADOW CREEK DR,3100665,10051610,1
459884962: 20193551558,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,8,12/21/2019 12:00:00 AM,78746,19.11,2100 BARTON SPRINGS RD,3106393,10070460,1
459723458: 20193551182,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,7,12/21/2019 12:00:00 AM,78758,17.53,10515 N MOPAC EXPY SVRD NB,3116531,10115747,1
459167144: 20193541778,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,12/20/2019 12:00:00 AM,78747,24.28,10813 DIMITRIOS DR,3106511,10022669,1
459844745: 20193540108,M,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,12/20/2019 12:00:00 AM,78701,11,401 E 6TH ST,3115439,10070324,1
1248367: 20193540108,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/20/2019 12:00:00 AM,78701,11,401 E 6TH ST,3115439,10070324,1
161092340: 20193540084,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,1,12/20/2019 12:00:00 AM,78702,8,2504 NEW YORK DR,3123546,10073108,1
208214402: 20193541476,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/20/2019 12:00:00 AM,78723,21.13,6700 MANOR RD,3137814,10086768,1
186851368: 20193540424,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,2,12/20/2019 12:00:00 AM,78744,-,5313 S PLEASANT VALLEY RD,3114448,10043957,1
459159174: 20193541662,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/20/2019 12:00:00 AM,78701,7,1213 SABINE ST,3117215,10072544,1
121504025: 20193530171,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,9,12/19/2019 12:00:00 AM,78705,4,919 E 32ND ST,3119190,10079092,1
307626340: 20193530157,M,B,DEADLY RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,1,12/19/2019 12:00:00 AM,78724,22,8410 GARCREEK CIR,3150130,10081369,1
71565946: 20193530237,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,12/19/2019 12:00:00 AM,78753,18,8500 GEORGIAN DR,3126815,10101318,1
459695369: 20193531574,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,2,12/19/2019 12:00:00 AM,78617,23.10,9319 EVENING SHADOWS DR,3137492,10054793,1
133892669: 20193521841,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/19/2019 12:00:00 AM,78702,9,2600 E CESAR CHAVEZ ST,3123145,10065849,1
169148727: 20193531138,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/19/2019 12:00:00 AM,78704,-,3012 S CONGRESS AVE,3109424,10057645,1
459170073: 20193531573,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,5,12/19/2019 12:00:00 AM,78704,-,3700 MANCHACA RD,3101660,10059276,1
459807912: 20193531099,F,H,DEFENSIVE RESISTANCE,MINOR INJURY,2,12/19/2019 12:00:00 AM,78744,24.19,5100 E WILLIAM CANNON DR,3113487,10038739,1
378929699: 20193530591,M,W,PREPARATORY RESISTANCE,MINOR INJURY,7,12/19/2019 12:00:00 AM,78727,18.48,2500 W PARMER LN,3125824,10127011,1
459884611: 20193531473,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,,12/19/2019 12:00:00 AM,78746,-,1309 THADDEUS CV,3087620,10074961,1
459884035: 20193530068,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,12/19/2019 12:00:00 AM,78701,11,E 6TH ST / SAN JACINTO BLVD,3115084,10070527,1
459251817: 20193521508,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,12/18/2019 12:00:00 AM,78758,-,1070 MEARNS MEADOW BLVD,3127076,10107949,1
459831753: 20193520114,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,12/18/2019 12:00:00 AM,78744,-,4713 BLUE MEADOW DR,3111138,10037852,1
352977195: 20193520114,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,12/18/2019 12:00:00 AM,78744,-,4713 BLUE MEADOW DR,3111138,10037852,1
459848318: 20193521276,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3,12/18/2019 12:00:00 AM,78741,23,2604 PARKER LN,3115668,10056663,1
337119773: 20193520312,M,H,PASSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,10,12/18/2019 12:00:00 AM,78759,25,11901 PAVILION BLVD,3109342,10127585,1
459788077: 20193521722,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/18/2019 12:00:00 AM,78723,21,6518 ED BLUESTEIN BLVD SB,3139623,10084178,1
459723646: 20193521364,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,12/18/2019 12:00:00 AM,78759,-,10611 RESEARCH BLVD NB,3112306,10119105,1
5016635: 20193520042,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,,12/18/2019 12:00:00 AM,-,-,701 CONGRESS,3114566,10071118,-
71566550: 20193520076,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,12/18/2019 12:00:00 AM,78723,-,1105 CLAYTON LN,3126792,10089198,1
458925304: 20193520034,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,9,12/18/2019 12:00:00 AM,78704,-,MARIPOSA DR / TRAVIS HEIGHTS BLVD,3114331,10060858,1
207552877: 20193511717,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,12/17/2019 12:00:00 AM,78752,18,7200 N IH 35 SVRD SB,3125789,10094778,1
208799047: 20193511717,M,B,NOT RESISTANT,NO COMPLAINT OF INJURY/PAIN,4,12/17/2019 12:00:00 AM,78752,18,7200 N IH 35 SVRD SB,3125789,10094778,1
459883640: 20193510554,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,4,12/17/2019 12:00:00 AM,78753,-,9504 N IH 35 SVRD SB,3130920,10104963,1
101123748: 20193511418,F,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,4,12/17/2019 12:00:00 AM,78758,18.20,1830 W RUNDBERG LN,3122270,10108763,1
459842911: 20193510147,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,7,12/17/2019 12:00:00 AM,78758,-,12435 METRIC BLVD,3129404,10123408,1
167841104: 20193511545,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/17/2019 12:00:00 AM,78701,11,W 5TH ST / LAVACA ST,3113449,10070635,1
459875780: 20193511692,M,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,12/17/2019 12:00:00 AM,78701,12,710 W CESAR CHAVEZ ST,3111496,10069981,1
459808551: 20193510031,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/17/2019 12:00:00 AM,78702,8,1100 N IH 35 NB,3135470,10128235,1
459883602: 20193511894,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,12/17/2019 12:00:00 AM,78752,-,7114 N IH 35 SVRD SB,3125687,10094562,1
459842619: 20193511513,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3,12/17/2019 12:00:00 AM,78702,10,31 N IH 35 SVRD NB,3116537,10065711,1
459831301: 20193511495,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,10,12/17/2019 12:00:00 AM,78759,17,GREAT HILLS TRL / N CAPITAL OF TEXAS HWY NB,3107927,10114286,1
263849791: 20193511418,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,4,12/17/2019 12:00:00 AM,78758,18.20,1830 W RUNDBERG LN,3122270,10108763,1
459699868: 20193501309,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/16/2019 12:00:00 AM,78745,-,209 E BEN WHITE BLVD SVRD EB,3108737,10053344,1
269814917: 20193500091,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,12/16/2019 12:00:00 AM,78744,-,1704 NELMS DR,3107921,10043296,1
459772255: 20193501099,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3,12/16/2019 12:00:00 AM,78741,-,2314 WICKERSHAM LN,3121161,10056382,1
459825284: 20193501709,F,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,12/16/2019 12:00:00 AM,78701,11,717 E 7TH ST,3116761,10070297,1
200540625: 20193500480,F,W,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/16/2019 12:00:00 AM,78701,11,700 E 7TH ST,3116612,10070581,1
459883030: 20193501885,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/16/2019 12:00:00 AM,78702,9,901 E 6TH ST,3117320,10069763,1
126222752: 20193501709,M,W,PASSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,12/16/2019 12:00:00 AM,78701,11,717 E 7TH ST,3116761,10070297,1
167841104: 20193501936,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,12/16/2019 12:00:00 AM,78701,11,LAVACA ST / W 6TH ST,3113549,10070972,1
459809029: 20193501094,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,2,12/16/2019 12:00:00 AM,78744,-,4409 DOVE DR,3112292,10042322,1
197329643: 20193501094,F,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,2,12/16/2019 12:00:00 AM,78744,-,4409 DOVE DR,3112292,10042322,1
459790380: 20193491241,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,2,12/15/2019 12:00:00 AM,78745,24,412 E WILLIAM CANNON DR,3104793,10043078,1
459525198: 20193490026,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/15/2019 12:00:00 AM,78701,11,400 E 6TH ST,3115491,10070521,1
459882437: 20193490125,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/15/2019 12:00:00 AM,78701,11,400 E 6TH ST,3115491,10070521,1
459882908: 20193490141,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/15/2019 12:00:00 AM,78701,11,400 E 6TH ST,3115491,10070521,1
459882436: 20193490181,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/15/2019 12:00:00 AM,78701,-,309 W 6TH ST,3113374,10071000,1
1248626: 20193490175,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/15/2019 12:00:00 AM,78701,11,408 E 6TH ST,3115586,10070497,1
459882907: 20193490141,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/15/2019 12:00:00 AM,78701,11,400 E 6TH ST,3115491,10070521,1
167841104: 20193491329,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,12/15/2019 12:00:00 AM,78701,11,401 W 2ND ST,3112743,10069673,1
459183072: 20193490086,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/15/2019 12:00:00 AM,78701,11,400 E 6TH ST,3115491,10070521,1
459882480: 20193491763,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,1,12/15/2019 12:00:00 AM,78701,11,1100 N IH 35 SVRD SB,3117252,10071847,1
