RKY,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED_REQ,OFFICER_INJURED_MED_REQ,SUSPECT_OINJURED_NO_MED_REQ,SUSPECT_INJURED_MED_REQ,ObjectId
B8-078621,2018/08/25 00:00:00+00,905,W,M,41,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,,,X,,Y,Y,Y,Y,13
B8-118185,2018/12/22 00:00:00+00,2243,W,M,30,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,N,14
B8-118185,2018/12/21 00:00:00+00,2243,W,M,30,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,N,15
B8-078621,2018/08/25 00:00:00+00,905,W,M,41,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,,,X,,Y,Y,Y,Y,16
B8-078621,2018/08/25 00:00:00+00,905,W,M,41,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,N,Y,Y,17
B8-114469,2018/12/10 00:00:00+00,929,W,M,15,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,X,,X,,N,,N,Y,18
B8-114178,2018/12/09 00:00:00+00,200,B,M,27,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,19
B8-077579,2018/08/22 00:00:00+00,1450,W,M,24,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,N,20
B8-113692,2018/12/06 00:00:00+00,1459,W,M,37,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,N,,N,N,21
B8-113570,2018/12/07 00:00:00+00,356,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,N,,,,22
B8-077579,2018/08/22 00:00:00+00,1450,W,M,24,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,N,23
B8-076096,2018/08/18 00:00:00+00,255,W,M,29,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,N,24
B8-039164,2018/05/06 00:00:00+00,214,I,M,29,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,Y,25
B8-113432,2018/12/06 00:00:00+00,1655,W,M,48,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,26
B8-111846,2018/12/01 00:00:00+00,232,B,F,26,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,X,,,,,,N,,Y,N,27
B8-038844,2018/05/06 00:00:00+00,149,I,F,17,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,X,,X,,N,N,N,N,28
B8-074206,2018/08/12 00:00:00+00,2044,B,M,24,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,29
B8-038844,2018/05/06 00:00:00+00,149,I,F,17,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,X,,,,N,,N,N,30
B8-111161,2018/11/29 00:00:00+00,347,W,M,40,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,X,,X,,X,,N,,N,Y,31
B8-074206,2018/08/12 00:00:00+00,2044,B,M,24,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,32
B8-038740,2018/05/05 00:00:00+00,2115,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,N,,N,,33
B8-111161,2018/11/29 00:00:00+00,345,W,M,40,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON CONTROL,,,,,,X,,,,X,,N,,N,Y,34
B8-074206,2018/08/12 00:00:00+00,2044,B,M,24,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,35
B8-038660,2018/05/05 00:00:00+00,1612,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,N,,,,36
B8-111161,2018/11/29 00:00:00+00,347,W,M,40,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,,N,N,37
B8-074206,2018/08/12 00:00:00+00,2044,B,M,24,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,38
B8-038573,2018/05/05 00:00:00+00,1030,H,M,14,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,Y,N,,39
B8-111161,2018/11/29 00:00:00+00,347,W,M,40,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,,N,Y,40
B8-110765,2018/11/27 00:00:00+00,1959,B,M,15,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,,X,N,,Y,Y,41
B8-036191,2018/04/28 00:00:00+00,1754,B,M,26,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,Y,Y,Y,N,42
B8-035697,2018/04/27 00:00:00+00,1055,I,M,28,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,,,N,,Y,Y,43
B8-073629,2018/08/10 00:00:00+00,2340,W,M,18,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,X,,X,,Y,Y,Y,Y,44
B8-110241,2018/11/26 00:00:00+00,15,W,M,35,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,,N,,45
B8-072802,2018/08/08 00:00:00+00,1708,W,F,46,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,Y,46
B8-109491,2018/11/22 00:00:00+00,2140,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,N,,,,47
B8-072802,2018/08/08 00:00:00+00,1708,W,F,46,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,Y,48
B8-107729,2018/11/16 00:00:00+00,145,H,5',22,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,,,,X,,,,,,N,,N,Y,49
B8-032994,2018/04/19 00:00:00+00,1342,W,M,24,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,,,X,,N,,Y,Y,50
B8-072222,2018/08/07 00:00:00+00,353,B,M,49,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,,N,Y,51
B8-107729,2018/11/16 00:00:00+00,145,H,M,23,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,,,,X,,,,,,N,,N,Y,52
B8-032871,2018/04/19 00:00:00+00,110,H,M,24,DEADLY FORCE ASSAULT,HARD EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,N,Y,Y,53
B8-071547,2018/08/05 00:00:00+00,313,W,M,20,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,N,Y,N,54
B8-107729,2018/11/17 00:00:00+00,145,W,M,21,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,,,,X,,,,,,N,,N,Y,55
B8-032588,2018/04/18 00:00:00+00,235,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,N,,,,56
B8-071461,2018/08/04 00:00:00+00,2200,H,M,23,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,X,X,,,,,X,,,,Y,N,Y,Y,57
B8-107340,2018/11/16 00:00:00+00,203,B,M,30,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,X,,X,,,,Y,N,Y,Y,58
B8-031381,2018/04/13 00:00:00+00,2257,W,F,22,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,Y,N,59
B8-071322,2018/08/04 00:00:00+00,1810,W,M,31,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,N,60
B8-106935,2018/11/14 00:00:00+00,2118,W,M,34,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,X,,,,N,,Y,Y,61
B8-029952,2018/04/10 00:00:00+00,30,W,M,43,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,Y,Y,Y,Y,62
B8-071200,2018/08/04 00:00:00+00,211,B,M,20,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,X,,,,,,Y,N,N,N,63
B8-105832,2018/11/11 00:00:00+00,218,B,M,26,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,,,,X,,,,,,N,,Y,N,64
B8-029951,2018/04/10 00:00:00+00,30,W,M,43,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,,,X,,Y,Y,Y,Y,65
B8-069416,2018/07/30 00:00:00+00,637,W,F,53,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,N,66
B8-105156,2018/11/08 00:00:00+00,2339,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,N,,,,67
B8-028541,2018/04/04 00:00:00+00,1315,W,M,13,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,N,N,68
B8-069072,2018/07/29 00:00:00+00,130,B,F,26,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,N,,N,N,69
B8-104564,2018/11/07 00:00:00+00,300,B,M,44,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,70
B8-024825,2018/03/24 00:00:00+00,237,W,M,51,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,N,N,Y,N,71
B8-069072,2018/07/29 00:00:00+00,130,B,F,26,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,N,,N,N,72
B8-104564,2018/11/07 00:00:00+00,300,B,M,44,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,73
B8-024825,2018/03/24 00:00:00+00,237,W,M,51,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,N,N,Y,N,74
B8-067483,2018/07/24 00:00:00+00,1132,H,M,56,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,Y,75
B8-104415,2018/11/06 00:00:00+00,1650,W,M,15,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,N,N,N,76
B8-024749,2018/03/23 00:00:00+00,2225,W,M,19,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,,Y,Y,77
B8-066683,2018/07/22 00:00:00+00,415,B,F,18,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,X,,,,,,,,,,N,N,Y,Y,78
B8-065212,2018/07/18 00:00:00+00,345,W,M,14,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,X,,,X,,,,Y,N,N,N,79
B8-062689,2018/07/11 00:00:00+00,143,W,M,28,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,X,X,,,,,,,,,Y,N,Y,N,80
B8-060379,2018/07/04 00:00:00+00,2238,B,M,39,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,,,X,,,,,X,,Y,N,N,Y,81
B8-058478,2018/06/30 00:00:00+00,434,B,M,21,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,,,Y,N,82
B8-058381,2018/06/29 00:00:00+00,2255,W,M,45,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,Y,83
B8-056622,2018/06/25 00:00:00+00,141,W,M,19,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,84
B8-056312,2018/06/24 00:00:00+00,415,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,N,,,,85
B8-056275,2018/06/24 00:00:00+00,129,,,0,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,,Y,Y,86
B8-055646,2018/06/22 00:00:00+00,1500,W,M,42,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,N,87
B8-055533,2018/06/22 00:00:00+00,615,W,F,18,VERBAL NON-COMPLIANCE,OFFICER PRESENCE,,,X,,,,,,,,,N,,Y,N,88
B8-054947,2018/06/20 00:00:00+00,1453,W,F,0,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,Y,N,N,89
B8-054947,2018/06/20 00:00:00+00,1453,W,F,37,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,N,N,N,90
B8-053853,2018/06/17 00:00:00+00,247,W,M,26,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,Y,N,91
B8-053831,2018/06/17 00:00:00+00,40,W,M,33,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,X,X,,,,,X,,,,N,,Y,N,92
B8-053831,2018/06/17 00:00:00+00,40,W,M,33,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,93
B8-052426,2018/06/13 00:00:00+00,53,B,M,16,DEFENSIVE RESISTANCE,VERBAL DIRECTION,,,X,,,,,,,,,Y,N,Y,Y,94
B8-051620,2018/06/10 00:00:00+00,1750,W,M,31,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,95
B8-051000,2018/06/09 00:00:00+00,0,U,M,25,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,X,,X,,N,,Y,Y,96
B8-050601,2018/06/07 00:00:00+00,2230,W,M,27,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,Y,97
B8-047883,2018/05/31 00:00:00+00,150,I,M,25,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,,Y,Y,98
B8-047545,2018/05/30 00:00:00+00,258,I,M,32,DEADLY FORCE ASSAULT,HARD EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,N,Y,Y,99
B8-047545,2018/05/30 00:00:00+00,258,I,M,32,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,,,,,Y,N,Y,Y,100
B8-046709,2018/05/27 00:00:00+00,1815,W,F,34,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,N,N,101
B8-046480,2018/05/26 00:00:00+00,2230,W,M,58,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,Y,N,102
B8-046309,2018/05/26 00:00:00+00,1145,B,M,46,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,X,,X,,N,,N,Y,103
B8-040586,2018/05/10 00:00:00+00,2224,B,M,27,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,N,N,N,104
B8-024739,2018/03/23 00:00:00+00,2142,I,M,35,VERBAL NON-COMPLIANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,Y,105
B8-024727,2018/03/23 00:00:00+00,2112,I,M,44,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,N,106
B8-024633,2018/03/23 00:00:00+00,1631,W,M,16,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,Y,N,107
B8-019276,2018/03/06 00:00:00+00,51,,,0,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,N,N,N,108
B8-018241,2018/03/02 00:00:00+00,2139,B,M,21,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,Y,N,109
B8-018241,2018/03/02 00:00:00+00,2139,B,M,21,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,Y,N,110
B8-016713,2018/02/26 00:00:00+00,1037,B,M,28,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,N,N,111
B8-016432,2018/02/25 00:00:00+00,653,B,M,34,DEADLY FORCE ASSAULT,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,N,N,112
B8-014204,2018/02/18 00:00:00+00,3,W,M,17,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,Y,N,113
B8-013737,2018/02/16 00:00:00+00,1803,B,M,37,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,Y,Y,N,114
B8-013737,2018/02/16 00:00:00+00,1803,B,M,37,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,Y,Y,N,115
B8-013434,2018/02/15 00:00:00+00,1730,W,F,56,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,N,Y,N,116
B8-013434,2018/02/15 00:00:00+00,1730,W,F,56,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,N,Y,N,117
B8-013434,2018/02/15 00:00:00+00,1730,W,F,56,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,N,Y,N,118
B8-013241,2018/02/15 00:00:00+00,222,I,M,35,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,N,N,Y,N,119
B8-013241,2018/02/15 00:00:00+00,222,I,M,35,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,N,N,Y,N,120
B8-012490,2018/02/12 00:00:00+00,2041,W,F,18,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,X,X,,,,,,,,,Y,N,Y,N,121
B8-010170,2018/02/04 00:00:00+00,1559,W,M,13,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,N,Y,Y,122
B8-009733,2018/02/03 00:00:00+00,126,B,M,22,VERBAL NON-COMPLIANCE,HARD EMPTY HAND CONTROL,,,,,,X,,,,,,N,N,N,N,123
B8-009731,2018/02/03 00:00:00+00,140,W,M,27,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,Y,Y,124
B8-009021,2018/01/31 00:00:00+00,1939,W,M,33,PASSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,N,N,125
B8-007913,2018/01/27 00:00:00+00,2319,B,M,29,PASSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,X,,,,,,N,,Y,N,126
B8-006614,2018/01/24 00:00:00+00,508,I,M,18,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON CONTROL,,,X,,,,,,,X,,N,,Y,N,127
B8-004511,2018/01/17 00:00:00+00,345,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,N,N,,N,128
B8-002789,2018/01/10 00:00:00+00,1832,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,129
B8-002788,2018/01/10 00:00:00+00,1809,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,N,,,N,130
B8-002568,2018/01/09 00:00:00+00,2139,B,M,28,PASSIVE RESISTANCE,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,Y,Y,,N,131
B8-002088,2018/01/08 00:00:00+00,1411,W,M,16,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,N,Y,Y,132
B8-002088,2018/01/08 00:00:00+00,1405,W,M,16,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,Y,133
B8-002088,2018/01/08 00:00:00+00,1405,W,M,16,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,Y,134
B8-001764,2018/01/07 00:00:00+00,1103,W,M,22,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,Y,135
B8-001341,2018/01/05 00:00:00+00,1816,I,M,35,VERBAL NON-COMPLIANCE,SOFT EMPTY HAND CONTROL,,,,,,,,,,,,N,N,Y,N,136
,,,,,,,,,,,,,,,,,,,,,,,137
,,,,,,,,,,,,,,,,,,,,,,,138
 ,,,,,,,,,,,,,,,,,,,,,,,139
B8-103578,2018/11/04 00:00:00+00,130,B,F,25,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,,,,X,,X,,,,N,,Y,N,140
B8-103578,2018/11/04 00:00:00+00,130,W,F,28,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,,,,X,,X,,,,N,,Y,N,141
B8-101452,2018/10/29 00:00:00+00,910,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,N,,,,142
B8-099982,2018/10/25 00:00:00+00,48,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,143
B8-099556,2018/10/23 00:00:00+00,1800,W,M,20,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,N,Y,Y,144
B8-099556,2018/10/23 00:00:00+00,1800,W,M,20,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,N,Y,Y,145
B8-098526,2018/10/20 00:00:00+00,1942,W,M,55,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,Y,N,146
B8-098526,2018/10/20 00:00:00+00,1942,W,M,0,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,Y,N,147
B8-097869,2018/10/19 00:00:00+00,248,W,M,25,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,N,Y,Y,148
B8-097491,2018/10/18 00:00:00+00,2317,W,M,26,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,X,X,,,,,X,,,,Y,N,Y,N,149
B8-097491,2018/10/18 00:00:00+00,2317,W,M,26,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,X,X,,,,,X,,,,Y,N,Y,N,150
B8-096255,2018/10/14 00:00:00+00,214,W,M,25,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,X,X,,,,,X,,,,N,,N,,151
B8-096220,2018/10/13 00:00:00+00,2320,W,M,40,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,N,,N,N,152
B8-095149,2018/10/10 00:00:00+00,1821,W,M,42,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,Y,153
B8-092958,2018/10/03 00:00:00+00,2345,B,M,35,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,Y,Y,Y,154
B8-092958,2018/10/03 00:00:00+00,2345,B,M,35,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,N,Y,Y,155
B8-092958,2018/10/03 00:00:00+00,2345,B,M,35,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,Y,Y,Y,156
B8-088091,2018/09/20 00:00:00+00,520,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,157
B8-088082,2018/09/20 00:00:00+00,342,B,M,17,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,,,X,,,,,,,,,N,N,Y,N,158
B8-086968,2018/09/17 00:00:00+00,43,W,M,46,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,N,N,Y,159
B8-086626,2018/09/16 00:00:00+00,211,B,M,32,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,,,,X,,X,,,,N,,Y,N,160
B8-086626,2018/09/16 00:00:00+00,211,B,M,32,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,,,,X,,X,,,,N,,Y,Y,161
