Master Subject ID,Date Occurred,LOCATION,Subject Sex,APD Race,Subject Resistance,Subject Effects,X_COORDINATE,Y_COORDINATE,Council District,CENSUS_TRACT,COUNTY,Location 1
459598582: 20172881185,10/15/2017 12:00:00 AM,12349 METRIC BLVD,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3128062,10122630,7,18.26,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
459211891: 20172110084,07/30/2017 12:00:00 AM,422 E 6TH ST,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115730,10070453,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459573262: 20172110226,07/30/2017 12:00:00 AM,300 BLOCK E 6TH ST,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115154,10070604,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
458851646: 2017740889,03/15/2017 12:00:00 AM,600 BRAZOS ST,M,W,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3114727,10070664,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459315342: 20171801129,06/29/2017 12:00:00 AM,NICKOLS AVE / SANTA ANNA ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3132129,10073493,1,21.1,TRAVIS COUNTY,"78721(30.270568, -97.683892)"
238027444: 20176900638,11/20/2017 12:00:00 AM,500 E 11TH ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116291,10072173,1,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459537937: 20171561602,06/05/2017 12:00:00 AM,500 E 7TH ST,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115951,10070759,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459605973: 20173381612,12/04/2017 12:00:00 AM,3300 ROCKHURST LN,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,3137985,10087946,1,21.13,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
459545600: 20171400005,05/20/2017 12:00:00 AM,600 BRAZOS ST,M,A,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3114727,10070664,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459501032: 20171732003,06/22/2017 12:00:00 AM,500 E 7TH ST,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115951,10070759,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
119279268: 20172331168,08/21/2017 12:00:00 AM,13600 N IH 35 SVRD NB,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3135469,10127649,7,18.39,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
459607221: 20173140166,11/10/2017 12:00:00 AM,600 TRINITY ST,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115403,10070458,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459207049: 20171761217,06/25/2017 12:00:00 AM,9703 NORTH CREEK DR,M,H,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3130387,10105832,4,18.23,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
459616645: 20173391424,12/05/2017 12:00:00 AM,RIVERSIDE DR/ PLEASANT VALLEY RD,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3120913,10058556,,,,-
9371926: 20171691493,06/18/2017 12:00:00 AM,710 E BEN WHITE BLVD EB,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3110517,10052730,3,24.03,TRAVIS COUNTY,"78745(30.206782, -97.798214)"
153224469: 20173091468,11/05/2017 12:00:00 AM,5775 AIRPORT BLVD,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3123004,10090689,4,15.03,TRAVIS COUNTY,"78752(30.332223, -97.703051)"
459218837: 20173481162,12/14/2017 12:00:00 AM,4477 S LAMAR BLVD SVRD NB,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3096842,10057285,5,17.12,TRAVIS COUNTY,"78745(30.206782, -97.798214)"
459586993: 20172541305,09/11/2017 12:00:00 AM,500 BLOCK GUADALUPE ST,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,3113134,10070913,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
291504806: 20175012646,03/27/2017 12:00:00 AM,905 RIVER OAKS DR,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3137162,10113823,1,18.32,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
458956216: 20172660082,09/23/2017 12:00:00 AM,3600 MOUNT BONNELL RD,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,3104060,10088947,10,1.02,TRAVIS COUNTY,"78731(30.345658, -97.765626)"
459498121: 2017800950,03/22/2017 12:00:00 AM,5015 S IH 35 SVRD NB,M,W,empty hand active aggression,NO COMPLAINT OF INJURY/PAIN,3109951,10047540,2,24.11,TRAVIS COUNTY,"78744(30.186349, -97.738673)"
167530855: 20173440204,12/10/2017 12:00:00 AM,408 E 6TH ST,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115586,10070497,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459588253: 20172570078,09/14/2017 12:00:00 AM,400 E 6TH ST,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3115491,10070521,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
181735204: 20175016127,04/19/2017 12:00:00 AM,11612 APRIL DR,F,H,PASSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3137162,10111578,1,18.32,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
459242770: 20172810192,10/08/2017 12:00:00 AM,400 E 6TH ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115491,10070521,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
163578755: 20172940210,10/21/2017 12:00:00 AM,700 E 7TH ST,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116612,10070581,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459572500: 20172110226,07/30/2017 12:00:00 AM,300 BLOCK E 6TH ST,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115154,10070604,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
17367685: 20171180474,04/28/2017 12:00:00 AM,4100 GUADALUPE ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116197,10084791,9,2.03,TRAVIS COUNTY,"78751(30.310564, -97.722213)"
60163100: 20173340659,11/30/2017 12:00:00 AM,1050 SPRINGDALE RD,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3130114,10072139,1,21.11,TRAVIS COUNTY,"78721(30.270568, -97.683892)"
208208747: 20171341270,05/14/2017 12:00:00 AM,8606 GEORGIAN DR,M,B,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3127190,10101831,4,18.06,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
459598461: 20172890168,10/16/2017 12:00:00 AM,316 E 6TH ST,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115313,10070574,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
1130262: 20172180097,08/06/2017 12:00:00 AM,300 E 6TH ST,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115154,10070604,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459507531: 2017490086,02/18/2017 12:00:00 AM,1814 GUADALUPE ST,F,W,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3114476,10075614,9,7,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
12860013: 20171410318,05/21/2017 12:00:00 AM,2215 TOWN LAKE CIR,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3120119,10060886,3,23.04,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
76087656: 20173540135,12/20/2017 12:00:00 AM,2500 S 5TH ST,F,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3107467,10061018,3,13.07,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
33112214: 20171991735,07/18/2017 12:00:00 AM,8912 N LAMAR BLVD,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,3127054,10103954,4,18.19,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
459132867: 20172541335,09/11/2017 12:00:00 AM,5801 AINEZ DR,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116449,10041252,2,24.31,TRAVIS COUNTY,"78744(30.186349, -97.738673)"
255005068: 2017301642,01/30/2017 12:00:00 AM,84 N IH 35 SVRD SB,M,W,empty hand defensive resistance,MINOR INJURY,3116026,10067758,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459457717: 20173001599,10/27/2017 12:00:00 AM,1607 WHELESS LN,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3130074,10089632,1,21.04,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
459541277: 20172971808,10/24/2017 12:00:00 AM,1907 RABB GLEN ST,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3104160,10063483,5,13.04,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
407766746: 2017700739,03/11/2017 12:00:00 AM,611 NECHES ST,M,B,empty hand active aggression,NO COMPLAINT OF INJURY/PAIN,3115916,10070553,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459351557: 20171591474,06/08/2017 12:00:00 AM,DOUGLAS ST / E OLTORF ST,M,W,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3118172,10057000,3,23.15,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
458953937: 2017822190,03/24/2017 12:00:00 AM,8902 TEXAS SUN DR,F,W,DEFENSIVE RESISTANCE,MINOR INJURY,3093342,10038287,5,24.23,TRAVIS COUNTY,"78748(30.166107, -97.825259)"
459502886: 20173460068,12/12/2017 12:00:00 AM,E 6TH ST / TRINITY ST,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3115415,10070416,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
458769590: 20171182058,04/28/2017 12:00:00 AM,9401 N IH 35 SVRD NB,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3131125,10103884,4,18.33,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
288651575: 2017101278,01/10/2017 12:00:00 AM,1555 E SH 71 WB,F,H,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3136394,10054475,2,23.1,TRAVIS COUNTY,"78742(30.235393, -97.67165)"
254018444: 20173440204,12/10/2017 12:00:00 AM,408 E 6TH ST,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115586,10070497,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
265552739: 20172871617,10/14/2017 12:00:00 AM,710 E BEN WHITE BLVD SVRD WB,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3110718,10052849,3,23.08,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
440598798: 20171491073,05/29/2017 12:00:00 AM,1201 W 38TH ST,F,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3113183,10084130,10,2.04,TRAVIS COUNTY,"78705(30.292467, -97.737978)"
1136566: 20172600203,09/17/2017 12:00:00 AM,300 BLK OF E 6TH ST,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,,,,,,-
459566605: 20173571092,12/23/2017 12:00:00 AM,1900 DUMAINE CIR,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3129761,10126284,7,18.47,TRAVIS COUNTY,"78727(30.426879, -97.713462)"
458864393: 20171580930,06/07/2017 12:00:00 AM,810 SWEETWATER RIVER DR,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3092522,10031885,5,24.21,TRAVIS COUNTY,"78748(30.166107, -97.825259)"
458783634: 20172010944,07/20/2017 12:00:00 AM,900 E ST JOHNS AVE,M,B,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3126948,10094124,4,18.12,TRAVIS COUNTY,"78752(30.332223, -97.703051)"
459561864: 20171820252,07/01/2017 12:00:00 AM,E 6TH ST / NECHES ST,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3115761,10070320,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459336085: 20172061449,07/25/2017 12:00:00 AM,11350 FOUR POINTS DR,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3079275,10120166,6,17.14,TRAVIS COUNTY,"78726(30.431233, -97.838431)"
459497889: 2017531780,02/22/2017 12:00:00 AM,4410 S 2ND ST,M,H,empty hand active aggression,MINOR INJURY,3104606,10053362,3,20.03,TRAVIS COUNTY,"78745(30.206782, -97.798214)"
297014714: 20173421435,12/08/2017 12:00:00 AM,3003 MORELOS CV,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3148763,10048719,2,24.33,TRAVIS COUNTY,"78617(30.157123, -97.611102)"
210174683: 20171721335,06/21/2017 12:00:00 AM,6911 N IH 35 SVRD NB,F,B,DEFENSIVE RESISTANCE,MINOR INJURY,3125726,10093476,4,18.12,TRAVIS COUNTY,"78752(30.332223, -97.703051)"
459278192: 20172901371,10/17/2017 12:00:00 AM,2200 E WILLIAM CANNON DR,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3109740,10041095,2,24.19,TRAVIS COUNTY,"78744(30.186349, -97.738673)"
459018952: 20172951512,10/22/2017 12:00:00 AM,W BRAKER LN / BURNET RD,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,3119887,10115665,7,18.49,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
51326777: 20173300177,11/26/2017 12:00:00 AM,200 W 6TH ST,F,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3113819,10070983,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459621194: 20173550148,12/21/2017 12:00:00 AM,E RIVERSIDE DR / GROVE BLVD,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3125672,10056089,3,23.14,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
318019444: 20172390058,08/27/2017 12:00:00 AM,5906 WAGON BND,F,H,AGGRESSIVE RESISTANCE,MINOR INJURY,3109410,10044069,2,24.12,TRAVIS COUNTY,"78744(30.186349, -97.738673)"
187108106: 20173321458,11/28/2017 12:00:00 AM,1024 E ANDERSON LN WB,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,3129295,10096103,4,18.13,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
31721616: 20172711665,09/28/2017 12:00:00 AM,1215 W SLAUGHTER LN,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3092521,10035702,5,24.21,TRAVIS COUNTY,"78748(30.166107, -97.825259)"
459548507: 20171491748,05/29/2017 12:00:00 AM,7522 N IH 35 SVRD SB,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3125968,10096642,4,18.04,TRAVIS COUNTY,"78752(30.332223, -97.703051)"
459013847: 20172421526,08/30/2017 12:00:00 AM,KIRKSEY DR / E RIVERSIDE DR,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3122799,10057593,3,23.14,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
101325198: 20171900119,07/09/2017 12:00:00 AM,E 6TH ST / SAN JACINTO BLVD,M,U,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115084,10070527,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459414186: 2017122065,01/12/2017 12:00:00 AM,RACHAEL CT / ROXANNA DR,M,B,evading/fleeing motor vehicle,NO COMPLAINT OF INJURY/PAIN,3088445,10037142,5,17.47,TRAVIS COUNTY,"78748(30.166107, -97.825259)"
254740784: 20171271202,05/07/2017 12:00:00 AM,1100 E OLTORF ST,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3113906,10059041,9,23.08,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
1141389: 20172860149,10/13/2017 12:00:00 AM,E 6TH ST / TRINITY ST,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115415,10070416,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459110404: 2017550031,02/24/2017 12:00:00 AM,1600 WICKERSHAM LN,F,B,DEFENSIVE RESISTANCE,MINOR INJURY,3122229,10059265,3,23.18,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
72549661: 20171270282,05/07/2017 12:00:00 AM,600 TRINITY ST,M,W,DEADLY RESISTANCE,DEATH,3115403,10070458,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459467968: 20171431502,05/23/2017 12:00:00 AM,NORTH DR / MIDDLE LN,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3129088,10104080,4,18.06,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
459576267: 20172170175,08/05/2017 12:00:00 AM,400 E 6TH ST,F,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115491,10070521,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459405079: 2017361243,02/05/2017 12:00:00 AM,12349 METRIC BLVD,M,W,empty hand active aggression,COMPLAINT OF INJURY/PAIN,3128062,10122630,7,18.26,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
134349635: 20171460929,05/26/2017 12:00:00 AM,2205 DOVEHILL DR,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3110537,10043126,2,24.12,TRAVIS COUNTY,"78744(30.186349, -97.738673)"
203884235: 20172201640,08/08/2017 12:00:00 AM,2309 BERKELEY AVE,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3094586,10048954,5,17.13,TRAVIS COUNTY,"78745(30.206782, -97.798214)"
459593633: 20172720226,09/29/2017 12:00:00 AM,1300 CROSSING PL,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3123924,10059981,3,23.17,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
155714458: 20173241628,11/20/2017 12:00:00 AM,916 E 50TH ST,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3122888,10086549,9,3.04,TRAVIS COUNTY,"78751(30.310564, -97.722213)"
288818558: 20171320683,05/12/2017 12:00:00 AM,6401 CHIMNEY CREEK CIR,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3134346,10087202,1,21.12,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
459523279: 2017840219,03/25/2017 12:00:00 AM,600 BLOCK N IH 35 SVRD NB,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3117073,10070111,3,9.02,TRAVIS COUNTY,"78702(30.264271, -97.71608)"
71568246: 20173490399,12/15/2017 12:00:00 AM,3201 CENTURY PARK BLVD,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,3126988,10131668,7,18.47,TRAVIS COUNTY,"78727(30.426879, -97.713462)"
459352745: 20173360068,12/02/2017 12:00:00 AM,300 FERGUSON DR,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3131585,10110544,4,18.23,TRAVIS COUNTY,"78753(30.378511, -97.675352)"
459379487: 20173191380,11/15/2017 12:00:00 AM,12800 BLOCK POND SPRINGS RD,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3104115,10131179,6,204.06,WILLIAMSON COUNTY,"78729(30.454447, -97.767067)"
