CASE_NUMBER,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED,OFFICER_INJURED_MED_REQ,SUSPECT_INJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID
B7-016360,2017/02/26 00:00:00+00,1809,I,M,34,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,X,21
B7-016388,2017/02/26 00:00:00+00,2008,W,M,48,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,X,X,,,,,X,,,,,,X,X,22
B7-016713,2017/02/27 00:00:00+00,2110,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,23
B7-017036,2017/02/28 00:00:00+00,2143,W,M,39,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,X,,,,,,,X,,X,,,,X,X,24
B7-017096,2017/03/01 00:00:00+00,218,W,F,30,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,25
B7-017413,2017/03/02 00:00:00+00,214,H,M,24,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,,26
B7-017996,2017/03/03 00:00:00+00,2338,B,M,57,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,X,27
B7-017996,2017/03/03 00:00:00+00,2338,B,M,57,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,28
B7-018388,2017/03/05 00:00:00+00,133,B,M,50,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,,,29
B7-019782,2017/03/09 00:00:00+00,1735,W,F,65,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,,,,,30
B7-020426,2017/03/12 00:00:00+00,27,W,M,52,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,X,,,,,,,X,,X,,X,,X,X,31
B7-022163,2017/03/18 00:00:00+00,247,,,0,ACTIVE AGGRESSION,OC SPRAY,,,,,,X,,,,,,,,,,32
B7-024077,2017/03/24 00:00:00+00,1325,,,0,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,,,,,,,,,,X,,,,,,33
B7-026596,2017/04/01 00:00:00+00,2330,W,M,65,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,,,,,,,X,,34
B7-027213,2017/04/03 00:00:00+00,2330,W,F,33,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,35
B7-028502,2017/04/07 00:00:00+00,2324,W,M,17,PASSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,36
B7-028590,2017/04/08 00:00:00+00,824,W,M,30,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,X,X,,,,,X,,,,X,,X,,37
B7-028937,2017/04/09 00:00:00+00,215,H,M,38,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,X,,,,,,,X,,X,,,,X,X,38
B7-029740,2017/04/11 00:00:00+00,1440,W,M,26,DEADLY FORCE ASSAULT,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,39
B7-029740,2017/04/11 00:00:00+00,1440,W,M,26,DEADLY FORCE ASSAULT,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,40
B7-029740,2017/04/11 00:00:00+00,1440,W,M,26,DEADLY FORCE ASSAULT,HARD EMPTY HAND CONTROL,X,X,,,,,,X,,,,X,,X,,41
B7-029957,2017/04/12 00:00:00+00,715,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,42
B7-031384,2017/04/16 00:00:00+00,200,B,M,25,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,X,,X,,43
B7-031384,2017/04/16 00:00:00+00,200,B,M,25,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,X,,X,,44
B7-031396,2017/04/16 00:00:00+00,316,B,M,32,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,X,,,,X,X,45
B7-032441,2017/04/19 00:00:00+00,1354,B,M,20,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON,X,,,,,,,X,,X,,,,X,X,46
B7-032911,2017/04/20 00:00:00+00,2325,W,M,19,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,47
B7-033702,2017/04/23 00:00:00+00,1032,B,M,19,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,X,48
B7-033702,2017/04/23 00:00:00+00,1032,B,M,19,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,X,,X,,X,X,49
B7-033771,2017/04/23 00:00:00+00,1932,I,F,30,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,X,,,,,,,X,,X,,,,X,X,50
B7-033971,2017/04/25 00:00:00+00,1124,W,M,42,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,,51
B7-033971,2017/04/25 00:00:00+00,1124,W,M,41,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,,52
B7-094559,2017/10/11 00:00:00+00,2150,W,M,27,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,53
B7-035091,2017/04/27 00:00:00+00,2025,W,M,31,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,X,X,,54
B7-036303,2017/05/02 00:00:00+00,138,B,M,32,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,,,,X,,X,,,,,,X,X,55
B7-036313,2017/05/02 00:00:00+00,138,B,M,24,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,,,,,,X,,X,,,,,,X,X,56
B7-036313,2017/05/02 00:00:00+00,138,B,M,23,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,,,,,,,,X,,X,,,,X,X,57
B7-039428,2017/05/11 00:00:00+00,115,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,58
B7-039743,2017/05/12 00:00:00+00,46,W,M,32,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,,59
B7-039766,2017/05/12 00:00:00+00,254,W,F,28,PSYCHOLOGICAL INTMIDATION,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,,60
B7-040439,2017/05/13 00:00:00+00,2132,W,M,18,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,X,,X,,X,X,61
B7-041072,2017/05/15 00:00:00+00,1737,W,M,29,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,X,62
B7-041530,2017/05/17 00:00:00+00,44,W,M,21,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,X,,,,,,,X,,X,,,,X,X,63
B7-042764,2017/05/20 00:00:00+00,2129,U,M,40,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,64
B7-042833,2017/05/21 00:00:00+00,158,H,F,25,ACTIVE AGGRESSION,OC SPRAY,,,,,,X,,X,,,,,,X,,65
B7-042843,2017/05/21 00:00:00+00,215,W,F,27,ACTIVE AGGRESSION,OC SPRAY,X,,X,,,X,,X,,,,,,X,,66
B7-042843,2017/05/21 00:00:00+00,216,B,F,29,ACTIVE AGGRESSION,OC SPRAY,X,,X,,,X,,X,,,,,,X,,67
B7-044088,2017/05/24 00:00:00+00,2222,I,M,34,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,,,68
B7-044524,2017/05/26 00:00:00+00,401,B,M,19,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,69
B7-044524,2017/05/26 00:00:00+00,401,B,M,19,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,,,,,,,,X,,X,,,,X,X,70
B7-045474,2017/05/28 00:00:00+00,2210,B,F,20,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,,71
B7-048034,2017/06/05 00:00:00+00,1928,U,M,19,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,72
B7-048034,2017/06/05 00:00:00+00,1928,U,M,19,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,,,,,,X,,,,X,,X,,73
B7-049840,2017/06/11 00:00:00+00,40,B,M,27,ACTIVE AGGRESSION,OC SPRAY,,,,,,X,,X,,,,,,X,,74
B7-049840,2017/06/11 00:00:00+00,40,B,M,27,ACTIVE AGGRESSION,OC SPRAY,,,,,,X,,X,,,,,,X,,75
B7-049840,2017/06/11 00:00:00+00,40,B,M,27,ACTIVE AGGRESSION,OC SPRAY,,,,,,X,,X,,,,,,X,,76
B7-049847,2017/06/11 00:00:00+00,55,B,M,24,ACTIVE AGGRESSION,OC SPRAY,X,,X,,,X,,X,,,,,,X,X,77
B7-049847,2017/06/11 00:00:00+00,55,B,M,24,ACTIVE AGGRESSION,OC SPRAY,X,,X,,,,,X,,,,,,X,X,78
B7-049873,2017/06/11 00:00:00+00,227,W,M,33,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,X,79
B7-049884,2017/06/11 00:00:00+00,207,B,M,0,ACTIVE AGGRESSION,OC SPRAY,,,,,,X,,,,,,,,,,80
B7-049884,2017/06/11 00:00:00+00,207,B,M,0,ACTIVE AGGRESSION,OC SPRAY,,,,,,X,,,,,,,,,,81
B7-094559,2017/10/11 00:00:00+00,2150,W,M,27,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,82
B7-095375,2017/10/14 00:00:00+00,332,I,M,24,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,,,83
B7-096032,2017/10/16 00:00:00+00,1,W,M,29,ACTIVE AGGRESSION,OC SPRAY,,,,,,X,,X,,,,,,,,84
B7-096032,2017/10/16 00:00:00+00,2,W,M,31,ACTIVE AGGRESSION,OC SPRAY,,,,,,X,,X,,,,,,,,85
B7-096783,2017/10/18 00:00:00+00,508,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,86
B7-098952,2017/10/23 00:00:00+00,1710,W,M,45,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,,,87
B7-099695,2017/10/25 00:00:00+00,2038,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,88
B7-100345,2017/10/30 00:00:00+00,1515,B,M,14,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,89
B7-100345,2017/10/30 00:00:00+00,1515,B,M,14,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,90
B7-101045,2017/10/30 00:00:00+00,526,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,91
B7-102717,2017/11/04 00:00:00+00,118,W,M,51,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,92
B7-102717,2017/11/04 00:00:00+00,118,W,M,51,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,93
B7-103176,2017/11/05 00:00:00+00,200,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,94
B7-103444,2017/11/06 00:00:00+00,134,W,M,24,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,,,,,,,,X,,X,,X,,X,X,95
B7-050414,2017/06/12 00:00:00+00,1823,B,F,16,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,96
B7-105395,2017/11/12 00:00:00+00,1349,W,M,28,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,97
B7-051135,2017/06/15 00:00:00+00,253,B,M,23,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,X,,,,X,X,98
B7-105395,2017/11/12 00:00:00+00,1349,W,M,28,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,99
B7-051479,2017/06/16 00:00:00+00,203,H,M,37,ACTIVE AGGRESSION,OC SPRAY,,,,,,X,,X,,,,,,X,,100
B7-105455,2017/11/12 00:00:00+00,1808,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,101
B7-052271,2017/06/18 00:00:00+00,247,B,M,25,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,102
B7-052288,2017/06/18 00:00:00+00,402,B,M,28,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,X,103
B7-052492,2017/06/18 00:00:00+00,2112,W,M,68,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,,,,,,,,,,X,,,,X,X,104
B7-052505,2017/06/18 00:00:00+00,2259,W,M,22,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,105
B7-052505,2017/06/18 00:00:00+00,2259,W,M,22,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,106
B7-052506,2017/06/18 00:00:00+00,2220,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,107
B7-053499,2017/06/21 00:00:00+00,2130,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,108
B7-053898,2017/06/23 00:00:00+00,449,W,M,22,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,109
B7-056958,2017/07/01 00:00:00+00,1839,W,M,18,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,110
B7-056958,2017/07/01 00:00:00+00,1839,W,M,18,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,111
B7-057085,2017/07/01 00:00:00+00,2316,B,M,22,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,112
B7-057275,2017/07/02 00:00:00+00,1626,W,F,33,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,113
B7-058735,2017/07/06 00:00:00+00,506,W,M,42,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,X,,,,,,,X,,X,,,,X,X,114
B7-058735,2017/07/06 00:00:00+00,506,W,M,42,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,,,,,,,,X,,X,,,,X,X,115
B7-059573,2017/07/08 00:00:00+00,1334,W,M,40,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,116
B7-061313,2017/07/13 00:00:00+00,2046,W,M,47,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,,,,,X,,117
B7-061422,2017/07/13 00:00:00+00,208,B,M,63,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,118
B7-061787,2017/07/15 00:00:00+00,157,W,M,25,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,119
B7-061787,2017/07/15 00:00:00+00,157,W,M,25,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,120
B7-061787,2017/07/15 00:00:00+00,157,W,M,25,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,121
B7-061787,2017/07/15 00:00:00+00,157,W,M,25,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,122
B7-062224,2017/07/16 00:00:00+00,1056,B,M,20,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,123
B7-062224,2017/07/16 00:00:00+00,1056,B,M,20,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,124
B7-063794,2017/07/21 00:00:00+00,110,W,M,23,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,X,X,,,,,X,,,,,,,,125
B7-065516,2017/07/26 00:00:00+00,1248,W,M,52,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,126
B7-066267,2017/07/28 00:00:00+00,1433,B,M,23,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,X,,,127
B7-066387,2017/07/28 00:00:00+00,2038,W,F,59,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,128
B7-067482,2017/08/01 00:00:00+00,56,W,M,28,DEADLY FORCE ASSAULT,HARD EMPTY HAND CONTROL,X,,X,,X,,,X,,,,,,X,X,129
B7-067482,2017/08/01 00:00:00+00,56,W,M,28,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,X,,,,X,X,130
B7-067497,2017/08/01 00:00:00+00,105,W,F,32,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,X,,,,131
B7-068157,2017/08/03 00:00:00+00,39,W,M,40,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,132
B7-068893,2017/08/05 00:00:00+00,730,W,M,36,DEADLY FORCE ASSAULT,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,133
B7-069220,2017/08/06 00:00:00+00,1027,B,M,55,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,134
B7-069333,2017/08/06 00:00:00+00,1757,B,M,32,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,X,,X,,,,,X,,X,,X,,X,X,135
B7-070131,2017/08/08 00:00:00+00,2151,B,M,17,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,136
B7-071709,2017/08/13 00:00:00+00,246,B,M,22,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,,137
B7-071854,2017/08/13 00:00:00+00,1725,I,M,15,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,138
B7-071854,2017/08/13 00:00:00+00,1725,I,M,15,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,139
B7-071854,2017/08/13 00:00:00+00,1725,I,M,15,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,140
B7-071854,2017/08/13 00:00:00+00,1725,I,M,15,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,141
B7-073392,2017/08/18 00:00:00+00,920,W,M,33,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,142
B7-073392,2017/08/18 00:00:00+00,920,W,M,33,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,X,X,,143
B7-074153,2017/08/20 00:00:00+00,120,W,M,32,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,144
B7-074193,2017/08/20 00:00:00+00,158,,,0,ACTIVE AGGRESSION,OC SPRAY,,,,,,X,,,,,,,,,,145
B7-075875,2017/08/24 00:00:00+00,140,W,M,18,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,X,X,,146
B7-076232,2017/08/24 00:00:00+00,2319,H,M,23,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,X,147
B7-076689,2017/08/25 00:00:00+00,2347,W,M,19,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,148
B7-076689,2017/08/25 00:00:00+00,2347,W,M,19,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,149
B7-078605,2017/08/31 00:00:00+00,1420,W,M,27,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,150
B7-079619,2017/09/02 00:00:00+00,2022,W,M,23,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,X,151
B7-079619,2017/09/02 00:00:00+00,2022,W,M,23,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,X,,,,,,,X,,X,,X,,X,X,152
B7-080149,2017/09/04 00:00:00+00,400,W,F,38,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON,X,,,,,,,X,X,,,,,X,X,153
B7-081544,2017/09/08 00:00:00+00,247,W,M,21,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,154
B7-081855,2017/09/08 00:00:00+00,2230,W,M,41,ACTIVE AGGRESSION,HARD INTERMEDIATE WEAPON,,,,,,,,X,,X,,,,X,X,155
B7-085001,2017/09/17 00:00:00+00,210,B,M,28,ACTIVE AGGRESSION,OC SPRAY,X,,,,,X,,,,,,,,,,156
B7-085001,2017/09/17 00:00:00+00,210,B,M,28,ACTIVE AGGRESSION,OC SPRAY,X,,,,,X,,,,,,,,,,157
B7-085001,2017/09/17 00:00:00+00,210,B,M,24,ACTIVE AGGRESSION,OC SPRAY,X,,X,,,X,,X,,,,X,,X,,158
B7-085001,2017/09/17 00:00:00+00,210,B,M,28,ACTIVE AGGRESSION,OC SPRAY,X,,,,,X,,,,,,,,,,159
B7-085649,2017/09/18 00:00:00+00,1812,W,M,45,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,X,,,,,,,X,,X,,,,X,X,160
B7-087273,2017/09/22 00:00:00+00,2123,H,M,18,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,X,X,X,161
B7-087273,2017/09/22 00:00:00+00,2123,H,M,18,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,162
B7-087356,2017/09/23 00:00:00+00,151,B,M,20,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,X,X,,,,,X,,,,,,,,163
B7-087571,2017/09/23 00:00:00+00,1616,W,M,19,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,X,X,,164
B7-089584,2017/09/28 00:00:00+00,1840,B,M,55,PSYCHOLOGICAL INTMIDATION,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,X,165
